Date,index,MedianPrice,RentalPrice,mortgage_rate
2015-01-01,0,273827.089474774,2264.1113143165403,3.67
2015-02-01,1,274085.1239044718,2278.386759244414,3.71
2015-03-01,2,274448.97255704127,2291.1668546511232,3.77
2015-04-01,3,275038.0627527526,2302.839541927394,3.6719999999999997
2015-05-01,4,275987.7645204526,2309.751952146793,3.84
2015-06-01,5,276730.00716944045,2315.3695181753524,3.9825
2015-07-01,6,277527.27953386016,2319.662633014632,4.046
2015-08-01,7,278712.0315176738,2326.1703802362645,3.9050000000000002
2015-09-01,8,280498.607523092,2333.2346262275564,3.89
2015-10-01,9,282675.0408736996,2341.9307746933096,3.7960000000000003
2015-11-01,10,284405.9102580373,2346.1321530660216,3.9425
2015-12-01,11,285847.58784251526,2349.8879858196237,3.964
2016-01-01,12,286635.0522077689,2352.5245550480977,3.8725
2016-02-01,13,287176.954487551,2356.600229982308,3.66
2016-03-01,14,287534.1149704387,2360.0154794487144,3.694
2016-04-01,15,288348.2482726215,2361.6219066876142,3.605
2016-05-01,16,289507.77347851265,2363.7767164097736,3.6
2016-06-01,17,290817.35677190626,2366.670921342731,3.568
2016-07-01,18,291747.94734029286,2372.480524987613,3.44
2016-08-01,19,292439.7113697678,2376.807697270823,3.435
2016-09-01,20,293003.5586065795,2382.749285840913,3.46
2016-10-01,21,293673.3570137646,2387.728325537548,3.47
2016-11-01,22,294638.36666120467,2396.0480504820366,3.77
2016-12-01,23,296169.7766610992,2399.0551756064283,4.198
2017-01-01,24,297626.1046534978,2400.329831534764,4.15
2017-02-01,25,299206.687518159,2399.2661000850726,4.1675
2017-03-01,26,300590.8136951493,2400.529427488627,4.196
2017-04-01,27,302486.17986754165,2402.627306091718,4.045
2017-05-01,28,304371.787719443,2407.430493929695,4.01
2017-06-01,29,306273.12363612145,2410.788828428096,3.904
2017-07-01,30,308069.6280109133,2414.123108917472,3.9675000000000002
2017-08-01,31,309703.46912677726,2414.5248580348525,3.88
2017-09-01,32,311039.2346935592,2414.1515376054235,3.8049999999999997
2017-10-01,33,312240.3116769587,2411.8568497042725,3.895
2017-11-01,34,313183.513919669,2412.1581662014187,3.9219999999999997
2017-12-01,35,314289.10555203684,2416.4193942698826,3.95
2018-01-01,36,315376.7721819607,2422.805100352724,4.032500000000001
2018-02-01,37,316663.7743925347,2428.0099413362886,4.33
2018-03-01,38,318311.7396678633,2433.8112141164925,4.444
2018-04-01,39,320022.66481472907,2441.133588391446,4.4675
2018-05-01,40,321983.2430218105,2446.747381294114,4.586
2018-06-01,41,323553.89726006694,2450.6879107742475,4.57
2018-07-01,42,325418.9894701124,2454.810949839222,4.5275
2018-08-01,43,327141.3948639927,2461.253044671852,4.55
2018-09-01,44,328716.6594464751,2467.88574062425,4.6274999999999995
2018-10-01,45,329715.01874520705,2474.062068477293,4.83
2018-11-01,46,330716.46798147983,2480.760545471243,4.866
2018-12-01,47,331484.5965863514,2486.995414782119,4.6375
2019-01-01,48,332444.6609047668,2493.7526264069456,4.464
2019-02-01,49,333363.8172210652,2500.6866469275064,4.37
2019-03-01,50,334565.6495229961,2506.948940313013,4.265
2019-04-01,51,335938.0735000526,2512.327970299477,4.1425
2019-05-01,52,337099.90706120786,2518.0527757919112,4.072
2019-06-01,53,338286.21842858754,2525.9347783585754,3.8024999999999998
2019-07-01,54,339121.45023689343,2533.495773256011,3.765
2019-08-01,55,339643.4236727916,2541.2065496550267,3.6159999999999997
2019-09-01,56,339633.6447263164,2549.131946306304,3.605
2019-10-01,57,339763.7249168652,2558.789259325772,3.6879999999999997
2019-11-01,58,340623.5822826576,2566.5806776458267,3.6950000000000003
2019-12-01,59,342125.2431013828,2574.2094907476453,3.72
2020-01-01,60,344720.5088998552,2581.1162067377427,3.624
2020-02-01,61,347476.88104635343,2589.3054567113168,3.4650000000000003
2020-03-01,62,350527.0738439939,2556.0933752021383,3.45
2020-04-01,63,352975.1900789137,2523.952651160998,3.306
2020-05-01,64,354848.32368226326,2490.7405696518194,3.2325
2020-06-01,65,355639.39613903634,2458.5998456106786,3.1625
2020-07-01,66,355494.8717404767,2425.3877641015,3.016
2020-08-01,67,354973.15783061885,2392.1756825923217,2.935
2020-09-01,68,355371.5192961685,2360.0349585511813,2.89
2020-10-01,69,356944.4745610788,2326.822877042003,2.834
2020-11-01,70,359966.34785635566,2311.5245984554367,2.765
2020-12-01,71,363839.8734795735,2310.842737100266,2.684
2021-01-01,72,367500.1444166208,2314.685322823644,2.735
2021-02-01,73,371353.73680995,2326.0421317860814,2.81
2021-03-01,74,375228.99963301606,2337.9662543333734,3.0825
2021-04-01,75,379520.4465073063,2358.360939438113,3.06
2021-05-01,76,384016.4227392599,2388.8535057676395,2.9625
2021-06-01,77,388380.4607684097,2428.655732405734,2.975
2021-07-01,78,392742.6470125353,2477.2021650450697,2.868
2021-08-01,79,396675.96730840736,2535.927504713744,2.8425000000000002
2021-09-01,80,400126.11418280256,2596.7466583931537,2.9
2021-10-01,81,403368.4707005097,2650.362432872902,3.0675
2021-11-01,82,406651.2272599597,2699.3763664479206,3.0675
2021-12-01,83,409980.38170181663,2737.9996216720624,3.098
2022-01-01,84,412920.2548115829,2771.669876018487,3.4450000000000003
2022-02-01,85,415687.5031260566,2796.981833122934,3.7625
2022-03-01,86,418967.336490009,2823.9290065718737,4.172
2022-04-01,87,423126.35247019766,2850.71432772002,4.9825
2022-05-01,88,427730.8156253368,2881.759306421436,5.2299999999999995
2022-06-01,89,432452.70415023743,2914.331338472326,5.522
2022-07-01,90,435634.1045847805,2944.515133092102,5.4125
2022-08-01,91,436741.0478231048,2967.2183389509605,5.2225
2022-09-01,92,435843.57483431976,2981.760828905109,6.112
2022-10-01,93,435070.6943775863,2990.02974576984,6.9
2022-11-01,94,434936.7258029327,2992.2432339577767,6.805
2022-12-01,95,435315.3838450646,2995.3693807156665,6.364
2023-01-01,96,435713.3231409211,3000.21204347226,6.2725
2023-02-01,97,436035.8408106417,3007.844003959108,6.2575
2023-03-01,98,436840.8400650074,3018.745393230411,6.544
2023-04-01,99,438698.8846379346,3034.626844800689,6.342499999999999
2023-05-01,100,441706.38546133455,3049.5073041848955,6.425
2023-06-01,101,445609.3372338931,3058.706784222549,6.714
2023-07-01,102,449434.54396576894,3063.8213968093205,6.84
2023-08-01,103,452804.8173854853,3070.22690528668,7.072
2023-09-01,104,455584.719207919,3081.413316087277,7.2
2023-10-01,105,458125.5008951966,3092.4806948228666,7.62
2023-11-01,106,460599.7111271184,3098.7230863621344,7.442
2023-12-01,107,462847.3675730037,3106.744163649006,6.815
2024-01-01,108,464941.7426437124,3116.984417589218,6.6425
2024-02-01,109,467229.3343311015,3129.8267408257693,6.776000000000001
2024-03-01,110,470679.1898179071,3141.782872034876,6.82
2024-04-01,111,474441.0617748603,3152.913894840671,6.9925
2024-05-01,112,477877.0098547158,3164.970247814228,7.06
2024-06-01,113,480319.231261499,3172.957558718043,6.9175
2024-07-01,114,482801.3638932324,3174.7459058833438,6.8475
2024-08-01,115,485796.2900079908,3176.401286441397,6.5
2024-09-01,116,488681.7156604587,3182.5290852393005,6.18
2024-10-01,117,491041.444296057,3195.162293992097,6.428
2024-11-01,118,492773.101340017,3212.6982280652,6.805
2024-12-01,119,494252.3150394925,3229.938612099665,6.715
2025-01-01,120,495499.0144077176,3245.1164521120195,6.958
2025-02-01,121,496921.0155478868,3258.020541740847,6.842499999999999
2025-03-01,122,498134.41185923415,3269.225486903289,6.65
2025-04-01,123,499606.3068983346,3278.0784129382755,6.725
2025-05-01,124,500627.05301068135,3285.458244112689,6.816
2025-06-01,125,501426.5432797009,3298.403296007404,6.8175
2025-07-01,126,501943.15908245766,3318.815110685398,6.720000000000001
2025-08-01,127,502520.98738704616,3340.3023666730937,6.5875
2025-09-01,128,503787.9865184535,3357.9344444619574,6.3525
2025-10-01,129,505959.5177547934,3372.411184724939,6.254
