Date,MedianPrice
2015-01-01,273827.089474774
2015-02-01,274085.1239044718
2015-03-01,274448.97255704127
2015-04-01,275038.0627527526
2015-05-01,275987.7645204526
2015-06-01,276730.00716944045
2015-07-01,277527.27953386016
2015-08-01,278712.0315176738
2015-09-01,280498.607523092
2015-10-01,282675.0408736996
2015-11-01,284405.9102580373
2015-12-01,285847.58784251526
2016-01-01,286635.0522077689
2016-02-01,287176.954487551
2016-03-01,287534.1149704387
2016-04-01,288348.2482726215
2016-05-01,289507.77347851265
2016-06-01,290817.35677190626
2016-07-01,291747.94734029286
2016-08-01,292439.7113697678
2016-09-01,293003.5586065795
2016-10-01,293673.3570137646
2016-11-01,294638.36666120467
2016-12-01,296169.7766610992
2017-01-01,297626.1046534978
2017-02-01,299206.687518159
2017-03-01,300590.8136951493
2017-04-01,302486.17986754165
2017-05-01,304371.787719443
2017-06-01,306273.12363612145
2017-07-01,308069.6280109133
2017-08-01,309703.46912677726
2017-09-01,311039.2346935592
2017-10-01,312240.3116769587
2017-11-01,313183.513919669
2017-12-01,314289.10555203684
2018-01-01,315376.7721819607
2018-02-01,316663.7743925347
2018-03-01,318311.7396678633
2018-04-01,320022.66481472907
2018-05-01,321983.2430218105
2018-06-01,323553.89726006694
2018-07-01,325418.9894701124
2018-08-01,327141.3948639927
2018-09-01,328716.6594464751
2018-10-01,329715.01874520705
2018-11-01,330716.46798147983
2018-12-01,331484.5965863514
2019-01-01,332444.6609047668
2019-02-01,333363.8172210652
2019-03-01,334565.6495229961
2019-04-01,335938.0735000526
2019-05-01,337099.90706120786
2019-06-01,338286.21842858754
2019-07-01,339121.45023689343
2019-08-01,339643.4236727916
2019-09-01,339633.6447263164
2019-10-01,339763.7249168652
2019-11-01,340623.5822826576
2019-12-01,342125.2431013828
2020-01-01,344720.5088998552
2020-02-01,347476.88104635343
2020-03-01,350527.0738439939
2020-04-01,352975.1900789137
2020-05-01,354848.32368226326
2020-06-01,355639.39613903634
2020-07-01,355494.8717404767
2020-08-01,354973.15783061885
2020-09-01,355371.5192961685
2020-10-01,356944.4745610788
2020-11-01,359966.34785635566
2020-12-01,363839.8734795735
2021-01-01,367500.1444166208
2021-02-01,371353.73680995
2021-03-01,375228.99963301606
2021-04-01,379520.4465073063
2021-05-01,384016.4227392599
2021-06-01,388380.4607684097
2021-07-01,392742.6470125353
2021-08-01,396675.96730840736
2021-09-01,400126.11418280256
2021-10-01,403368.4707005097
2021-11-01,406651.2272599597
2021-12-01,409980.38170181663
2022-01-01,412920.2548115829
2022-02-01,415687.5031260566
2022-03-01,418967.336490009
2022-04-01,423126.35247019766
2022-05-01,427730.8156253368
2022-06-01,432452.70415023743
2022-07-01,435634.1045847805
2022-08-01,436741.0478231048
2022-09-01,435843.57483431976
2022-10-01,435070.6943775863
2022-11-01,434936.7258029327
2022-12-01,435315.3838450646
2023-01-01,435713.3231409211
2023-02-01,436035.8408106417
2023-03-01,436840.8400650074
2023-04-01,438698.8846379346
2023-05-01,441706.38546133455
2023-06-01,445609.3372338931
2023-07-01,449434.54396576894
2023-08-01,452804.8173854853
2023-09-01,455584.719207919
2023-10-01,458125.5008951966
2023-11-01,460599.7111271184
2023-12-01,462847.3675730037
2024-01-01,464941.7426437124
2024-02-01,467229.3343311015
2024-03-01,470679.1898179071
2024-04-01,474441.0617748603
2024-05-01,477877.0098547158
2024-06-01,480319.231261499
2024-07-01,482801.3638932324
2024-08-01,485796.2900079908
2024-09-01,488681.7156604587
2024-10-01,491041.444296057
2024-11-01,492773.101340017
2024-12-01,494252.3150394925
2025-01-01,495499.0144077176
2025-02-01,496921.0155478868
2025-03-01,498134.41185923415
2025-04-01,499606.3068983346
2025-05-01,500627.05301068135
2025-06-01,501426.5432797009
2025-07-01,501943.15908245766
2025-08-01,502520.98738704616
2025-09-01,503787.9865184535
2025-10-01,505959.5177547934
