,Date,mortgage_rate
0,2015-01-01,3.67
1,2015-02-01,3.71
2,2015-03-01,3.77
3,2015-04-01,3.67
4,2015-05-01,3.84
5,2015-06-01,3.98
6,2015-07-01,4.05
7,2015-08-01,3.91
8,2015-09-01,3.89
9,2015-10-01,3.80
10,2015-11-01,3.94
11,2015-12-01,3.96
12,2016-01-01,3.87
13,2016-02-01,3.66
14,2016-03-01,3.69
15,2016-04-01,3.60
16,2016-05-01,3.60
17,2016-06-01,3.57
18,2016-07-01,3.44
19,2016-08-01,3.44
20,2016-09-01,3.46
21,2016-10-01,3.47
22,2016-11-01,3.77
23,2016-12-01,4.20
24,2017-01-01,4.15
25,2017-02-01,4.17
26,2017-03-01,4.20
27,2017-04-01,4.04
28,2017-05-01,4.01
29,2017-06-01,3.90
30,2017-07-01,3.97
31,2017-08-01,3.88
32,2017-09-01,3.80
33,2017-10-01,3.90
34,2017-11-01,3.92
35,2017-12-01,3.95
36,2018-01-01,4.03
37,2018-02-01,4.33
38,2018-03-01,4.44
39,2018-04-01,4.47
40,2018-05-01,4.59
41,2018-06-01,4.57
42,2018-07-01,4.53
43,2018-08-01,4.55
44,2018-09-01,4.63
45,2018-10-01,4.83
46,2018-11-01,4.87
47,2018-12-01,4.64
48,2019-01-01,4.46
49,2019-02-01,4.37
50,2019-03-01,4.26
51,2019-04-01,4.14
52,2019-05-01,4.07
53,2019-06-01,3.80
54,2019-07-01,3.77
55,2019-08-01,3.62
56,2019-09-01,3.60
57,2019-10-01,3.69
58,2019-11-01,3.70
59,2019-12-01,3.72
60,2020-01-01,3.62
61,2020-02-01,3.47
62,2020-03-01,3.45
63,2020-04-01,3.31
64,2020-05-01,3.23
65,2020-06-01,3.16
66,2020-07-01,3.02
67,2020-08-01,2.94
68,2020-09-01,2.89
69,2020-10-01,2.83
70,2020-11-01,2.77
71,2020-12-01,2.68
72,2021-01-01,2.73
73,2021-02-01,2.81
74,2021-03-01,3.08
75,2021-04-01,3.06
76,2021-05-01,2.96
77,2021-06-01,2.98
78,2021-07-01,2.87
79,2021-08-01,2.84
80,2021-09-01,2.90
81,2021-10-01,3.07
82,2021-11-01,3.07
83,2021-12-01,3.10
84,2022-01-01,3.45
85,2022-02-01,3.76
86,2022-03-01,4.17
87,2022-04-01,4.98
88,2022-05-01,5.23
89,2022-06-01,5.52
90,2022-07-01,5.41
91,2022-08-01,5.22
92,2022-09-01,6.11
93,2022-10-01,6.90
94,2022-11-01,6.80
95,2022-12-01,6.36
96,2023-01-01,6.27
97,2023-02-01,6.26
98,2023-03-01,6.54
99,2023-04-01,6.34
100,2023-05-01,6.42
101,2023-06-01,6.71
102,2023-07-01,6.84
103,2023-08-01,7.07
104,2023-09-01,7.20
105,2023-10-01,7.62
106,2023-11-01,7.44
107,2023-12-01,6.82
108,2024-01-01,6.64
109,2024-02-01,6.78
110,2024-03-01,6.82
111,2024-04-01,6.99
112,2024-05-01,7.06
113,2024-06-01,6.92
114,2024-07-01,6.85
115,2024-08-01,6.50
116,2024-09-01,6.18
117,2024-10-01,6.43
118,2024-11-01,6.80
119,2024-12-01,6.71
120,2025-01-01,6.96
121,2025-02-01,6.84
122,2025-03-01,6.65
123,2025-04-01,6.72
124,2025-05-01,6.82
125,2025-06-01,6.82
126,2025-07-01,6.72
127,2025-08-01,6.59
128,2025-09-01,6.35
129,2025-10-01,6.25
130,2025-11-01,6.24
131,2025-12-01,6.21
