Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2025-11-30,1,-68969.63607390117,-3385.469047566154,-68969.63607390117,-253385.46904756615,-68969.63607390117,-3385.469047566154
2025-12-31,2,-3716.9383807258096,-3386.108404038172,-72686.57445462699,-256771.57745160433,-3729.106669770774,-3397.19364182731
2026-01-31,3,-3708.189697062914,-3385.5120594742284,-76394.7641516899,-260157.08951107855,-3732.508735374373,-3407.714914291357
2026-02-28,4,-3699.4585320506258,-3383.849876266447,-80094.22268374053,-263540.939387345,-3735.910800977972,-3417.1923247979785
2026-03-31,5,-3690.74486451221,-3381.3056513013194,-83784.96754825274,-266922.24503864633,-3739.312866581571,-3425.8016178062408
2026-04-30,6,-3682.048673222603,-3378.0657137623507,-87467.01622147534,-270300.3107524087,-3742.7149321851707,-3433.723481372553
2026-05-31,7,-3673.3699369089536,-3374.3097377820022,-91140.3861583843,-273674.6204901907,-3746.1169977887703,-3441.134239571317
2026-06-30,8,-3664.7086342511598,-3370.2037446172926,-94805.09479263546,-277044.824234808,-3749.519063392369,-3448.1986016170795
2026-07-31,9,-3656.064743882406,-3365.8951722479687,-98461.15953651787,-280410.71940705593,-3752.9211289959685,-3455.0643915843143
2026-08-31,10,-3647.438244389691,-3361.509819006015,-102108.59778090756,-283772.22922606196,-3756.3231945995676,-3461.859106573932
2026-09-30,11,-3638.8291143143606,-3357.1504201459265,-105747.42689522191,-287129.3796462079,-3759.7252602031667,-3468.6880972981835
2026-10-31,12,-3630.2373321526334,-3352.896589551401,-109377.66422737455,-290482.27623575926,-3763.127325806766,-3475.6341314090955
2026-11-30,13,-3621.6628763561203,-3348.8058499962153,-112999.32710373067,-293831.0820857555,-3766.5293914103654,-3482.758083996064
2026-12-31,14,-3613.1057253323465,-3344.915481274406,-116612.43282906302,-297175.9975670299,-3769.9314570139645,-3490.1004987196893
2027-01-31,15,-3604.565857445272,-3341.2449328102534,-120216.99868650829,-300517.24249984015,-3773.3335226175636,-3497.6837740966203
2027-02-28,16,-3596.0432510157993,-3337.7985729147504,-123813.04193752409,-303855.0410727549,-3776.735588221163,-3505.5147496015375
2027-03-31,17,-3587.5378843222898,-3334.5685777920694,-127400.57982184638,-307189.609650547,-3780.1376538247623,-3513.587492764242
2027-04-30,18,-3579.049735601071,-3331.53779717552,-130979.62955744745,-310521.1474477225,-3783.5397194283614,-3521.8861188229744
2027-05-31,19,-3570.5787830469417,-3328.682467934019,-134550.2083404944,-313849.8299156565,-3786.941785031961,-3530.3875065783486
2027-06-30,20,-3562.1250048136735,-3325.9746803921435,-138112.33334530808,-317175.80459604866,-3790.34385063556,-3539.063806059034
2027-07-31,21,-3553.6883790145143,-3323.3845331107937,-141666.0217243226,-320499.18912915944,-3793.745916239159,-3547.8846640114934
2027-08-31,22,-3545.2688837226815,-3320.8819395282294,-145211.2906080453,-323820.07106868766,-3797.147981842759,-3556.8191209736337
2027-09-30,23,-3536.8664969718566,-3318.4380735608106,-148748.15710501716,-327138.5091422485,-3800.550047446358,-3565.837158037264
2027-10-31,24,-3528.4811967566825,-3316.026460714243,-152276.63830177384,-330454.5356029627,-3803.952113049957,-3574.910891903884
2027-11-30,25,-3520.112961033243,-3313.6237364229805,-155796.75126280708,-333768.1593393857,-3807.354178653556,-3584.0154333150963
2027-12-31,26,-3511.7617677195567,-3311.2101043879484,-159308.51303052664,-337079.36944377364,-3810.7562442571557,-3593.1294364360283
2028-01-31,27,-3503.4275946960533,-3308.7695349480105,-162811.9406252227,-340388.1389787217,-3814.1583098607543,-3602.23537550544
2028-02-29,28,-3495.110419806062,-3306.2897474352108,-166307.05104502875,-343694.4287261569,-3817.560375464354,-3611.319590387385
2028-03-31,29,-3486.810220856281,-3303.762021530893,-169793.86126588503,-346998.19074768777,-3820.9624410679535,-3620.372145001979
2028-04-30,30,-3478.5269756172565,-3301.1808813923785,-173272.38824150228,-350299.37162908015,-3824.364506671552,-3629.3865424629803
2028-05-31,31,-3470.2606618238583,-3298.5436932894454,-176742.64890332613,-353597.9153223696,-3827.7665722751517,-3638.359338611327
2028-06-30,32,-3462.011257175741,-3295.850213182386,-180204.66016050187,-356893.765535552,-3831.168637878751,-3647.289692001534
2028-07-31,33,-3453.778739337818,-3293.1021155507665,-183658.43889983968,-360186.8676511028,-3834.57070348235,-3656.1788837369972
2028-08-31,34,-3445.563085940723,-3290.302529249457,-187104.0019857804,-363477.17018035223,-3837.9727690859495,-3665.0298352805416
2028-09-30,35,-3437.36427458127,-3287.4556005675936,-190541.36626036168,-366764.6257809198,-3841.3748346895486,-3673.846646852092
2028-10-31,36,-3429.182282822916,-3284.566098271591,-193970.5485431846,-370049.19187919144,-3844.7769002931477,-3682.6341735688775
2028-11-30,37,-3421.017088196215,-3281.6390704342143,-197391.5656313808,-373330.83094962564,-3848.1789658967473,-3691.397651324912
2028-12-31,38,-3412.8686681992704,-3278.679558434838,-200804.43429958008,-376609.51050806046,-3851.5810315003464,-3700.1423797237735
2029-01-31,39,-3404.7370002981875,-3275.692369752031,-204209.17129987828,-379885.2028778125,-3854.9830971039455,-3708.8734652927697
2029-02-28,40,-3396.6220619275236,-3272.6819081002395,-207605.7933618058,-383157.8847859127,-3858.3851627075446,-3717.595624786594
2029-03-31,41,-3388.5238304907307,-3269.6520570883386,-210994.31719229653,-386427.536843001,-3861.787228311144,-3726.3130456592926
2029-04-30,42,-3380.4422833605995,-3266.6061118675666,-214374.75947565713,-389694.1429548686,-3865.1892939147438,-3735.0292987327825
2029-05-31,43,-3372.3773978797003,-3263.546752133567,-217747.13687353683,-392957.6897070022,-3868.5913595183424,-3743.7472966773926
2029-06-30,44,-3364.3291513608247,-3260.4760492791297,-221111.46602489764,-396218.16575628135,-3871.993425121942,-3752.4692910828608
2029-07-31,45,-3356.2975210874147,-3257.3955003777123,-224467.76354598507,-399475.56125665904,-3875.395490725541,-3761.1969005606734
2029-08-31,46,-3348.2824843139992,-3254.3060819260436,-227816.04603029907,-402729.8673385851,-3878.79755632914,-3769.931162396524
2029-09-30,47,-3340.284018266627,-3251.208316800823,-231156.3300485657,-405981.0756553859,-3882.1996219327393,-3778.672600678604
2029-10-31,48,-3332.3021001432903,-3248.102348608257,-234488.63214870897,-409229.17800399417,-3885.601687536339,-3787.4213044790536
2029-11-30,49,-3324.3367071143516,-3244.9880184519175,-237812.96885582333,-412474.1660224461,-3889.003753139938,-3796.177010483414
2029-12-31,50,-3316.38781632297,-3241.8649400495297,-241129.3566721463,-415716.0309624956,-3892.405818743537,-3804.939185375591
2030-01-31,51,-3308.455404885518,-3238.7325700387655,-244437.81207703182,-418954.76353253436,-3895.8078843471367,-3813.707104232674
2030-02-28,52,-3300.5394498920004,-3235.590271182623,-247738.35152692383,-422190.353803717,-3899.209949950736,-3822.4799221145227
2030-03-31,53,-3292.63992840647,-3232.4373669840234,-251030.9914553303,-425422.79117070104,-3902.612015554335,-3831.2567369077274
2030-04-30,54,-3284.7568174674448,-3229.2731869242034,-254315.74827279776,-428652.0643576252,-3906.0140811579345,-3840.0366422732022
2030-05-31,55,-3276.8900940883123,-3226.0971021367804,-257592.63836688607,-431878.161459762,-3909.4161467615336,-3848.8187702319146
2030-06-30,56,-3269.0397352577424,-3222.9085518132288,-260861.6781021438,-435101.07001157524,-3912.8182123651327,-3857.602323493284
2030-07-31,57,-3261.205717940092,-3219.707061006606,-264122.8838200839,-438320.7770725818,-3916.2202779687323,-3866.3865980823743
2030-08-31,58,-3253.38801907581,-3216.492250764464,-267376.2718391597,-441537.2693233463,-3919.6223435723314,-3875.1709971579244
2030-09-30,59,-3245.5866155818367,-3213.2638416886375,-270621.85845474154,-444750.53316503495,-3923.0244091759305,-3883.955037141143
2030-10-31,60,-3237.801484352004,-3210.0216521010893,-273859.6599390935,-447960.554817136,-3926.4264747795296,-3892.73834740604
2030-11-30,61,-3230.0326022574313,-3206.7655920049165,-277089.69254135096,-451167.32040914096,-3929.828540383129,-3901.520664829236
2030-12-31,62,-3222.2799461469194,-3203.495653982145,-280311.9724874979,-454370.8160631231,-3933.230605986728,-3910.3018244751665
2031-01-31,63,-3214.543492847347,-3200.211902079012,-283526.51598034526,-457571.0279652021,-3936.6326715903274,-3919.0817476162
2031-02-28,64,-3206.82321916405,-3196.914459608165,-286733.3391995093,-460767.94242481026,-3940.034737193927,-3927.8604281707853
2031-03-31,65,-3199.1191018812206,-3193.6034966575266,-289932.4583013905,-463961.5459214678,-3943.4368027975256,-3936.637918499649
2031-04-30,66,-3191.431117762284,-3190.2792179476032,-293123.8894191528,-467151.82513941545,-3946.838868401125,-3945.4143153422224
2031-05-31,67,-3183.7592435502856,-3186.9418515315433,-296307.6486627031,-470338.76699094696,-3950.2409340047243,-3954.189746513058
2031-06-30,68,-3176.1034559682685,-3183.591638691818,-299483.7521186714,-473522.3586296388,-3953.6429996083234,-3962.9643588194403
2031-07-31,69,-3168.4637317196534,-3180.22882525933,-302652.215850391,-476702.5874548981,-3957.045065211923,-3971.7383075131897
2031-08-31,70,-3160.8400474886143,-3176.853654468275,-305813.05589787965,-479879.44110936637,-3960.447130815522,-3980.5117474565936
2031-09-30,71,-3153.232379940452,-3173.466361365417,-308966.2882778201,-483052.9074707318,-3963.849196419121,-3989.284826067584
2031-10-31,72,-3145.640705721966,-3170.0671687162057,-312111.9289835421,-486222.974639448,-3967.2512620227208,-3998.0576780143424
2031-11-30,73,-3138.06500146182,-3166.65628429227,-315249.9939850039,-489389.6309237403,-3970.65332762632,-4006.8304215548865
2031-12-31,74,-3130.505243770917,-3163.233899384105,-318380.4992287748,-492552.8648231244,-3974.0553932299194,-4015.6031563622637
2032-01-31,75,-3122.961409242754,-3159.8001883576594,-321503.46063801757,-495712.665011482,-3977.457458833518,-4024.3759626393107
2032-02-29,76,-3115.4334744537946,-3156.3553090620408,-324618.8941124714,-498869.0203205441,-3980.8595244371177,-4033.1489013066525
2032-03-31,77,-3107.921415963821,-3152.8994038953424,-327726.81552843517,-502021.9197244394,-3984.2615900407172,-4041.9220150412966
2032-04-30,78,-3100.425210316296,-3149.432601344429,-330827.2407387515,-505171.3523257838,-3987.663655644316,-4050.6953299484016
2032-05-31,79,-3092.944834038722,-3145.955017830155,-333920.1855727902,-508317.307343614,-3991.0657212479155,-4059.4688576629865
2032-06-30,80,-3085.4802636429886,-3142.466759709717,-337005.6658364332,-511459.7741033237,-3994.4677868515146,-4068.242597699057
2032-07-31,81,-3078.0314756257276,-3138.96792531087,-340083.6973120589,-514598.7420286346,-3997.8698524551137,-4077.016539888632
2032-08-31,82,-3070.5984464686653,-3135.4586068969065,-343154.2957585275,-517734.2006355315,-4001.271918058713,-4085.790666780405
2032-09-30,83,-3063.181152638965,-3131.938892485158,-346217.4769111665,-520866.1395280167,-4004.6739836623124,-4094.564955895623
2032-10-31,84,-3055.7795705895755,-3128.4088674644627,-349273.2564817561,-523994.54839548114,-4008.076049265912,-4103.339381765741
2032-11-30,85,-3048.3936767595737,-3124.8686159775075,-352321.65015851567,-527119.4170114587,-4011.4781148695106,-4112.113917701519
2032-12-31,86,-3041.0234475745065,-3121.3182220519107,-355362.6736060902,-530240.7352335106,-4014.88018047311,-4120.888537265627
2033-01-31,87,-3033.668859446729,-3117.757770478908,-358396.3424655369,-533358.4930039895,-4018.2822460767093,-4129.66321544004
2033-02-28,88,-3026.3298887757414,-3114.187347450475,-361422.6723543127,-536472.6803514399,-4021.6843116803084,-4138.437929495322
2033-03-31,89,-3019.0065119485266,-3110.6070409747686,-364441.6788662612,-539583.2873924146,-4025.086377283908,-4147.212659581179
2033-04-30,90,-3011.6987053398784,-3107.016941096007,-367453.3775716011,-542690.3043335107,-4028.488442887507,-4155.987389066672
2033-05-31,91,-3004.406445312737,-3103.4171399486936,-370457.7840169138,-545793.7214734594,-4031.890508491106,-4164.76210466433
2033-06-30,92,-2997.1297082185165,-3099.8077316776544,-373454.9137251323,-548893.529205137,-4035.2925740947057,-4173.536796375516
2033-07-31,93,-2989.8684703974304,-3096.1888122551945,-376444.7821955297,-551989.7180173923,-4038.694639698305,-4182.311457295223
2033-08-31,94,-2982.622708178818,-3092.5604792250538,-379427.40490370855,-555082.2784966173,-4042.096705301904,-4191.086083313299
2033-09-30,95,-2975.3923978814664,-3088.922831400173,-382402.79730159004,-558171.2013280175,-4045.498770905503,-4199.860672746523
2033-10-31,96,-2968.177515813934,-3085.2759685379197,-385370.97481740394,-561256.4772965554,-4048.9008365091026,-4208.635225932255
2033-11-30,97,-2960.978038274864,-3081.6199910126143,-388331.9528556788,-564338.097287568,-4052.3029021127013,-4217.409744810042
2033-12-31,98,-2953.793941553307,-3077.9549995012826,-391285.74679723213,-567416.0522870694,-4055.704967716301,-4226.184232512853
2034-01-31,99,-2946.625201929033,-3074.2810946946784,-394232.37199916114,-570490.333381764,-4059.1070333199004,-4234.958692984841
2034-02-28,100,-2939.471795672844,-3070.598377041963,-397171.843794834,-573560.931758806,-4062.509098923499,-4243.733130637959
2034-03-31,101,-2932.3336990468883,-3066.9069465341795,-400104.17749388085,-576627.8387053402,-4065.9111645270987,-4252.507550055489
2034-04-30,102,-2925.2108883049655,-3063.2069025287688,-403029.38838218583,-579691.0456078689,-4069.313230130698,-4261.281955746792
2034-05-31,103,-2918.1033396928356,-3059.498343615014,-405947.49172187864,-582750.5439514839,-4072.715295734297,-4270.056351954357
2034-06-30,104,-2911.011029448526,-3055.781367518431,-408858.5027513272,-585806.3253190024,-4076.1173613378965,-4278.8307425116145
2034-07-31,105,-2903.9339338026325,-3052.056071040685,-411762.4366851298,-588858.3813900431,-4079.5194269414956,-4287.605130747937
2034-08-31,106,-2896.87202897862,-3048.322550030686,-414659.3087141084,-591906.7039400737,-4082.9214925450947,-4296.3795194357945
2034-09-30,107,-2889.8252911931268,-3044.5808993819437,-417549.1340053016,-594951.2848394557,-4086.3235581486942,-4305.153910774095
2034-10-31,108,-2882.7936966562565,-3040.8312130510303,-420431.9277019578,-597992.1160525067,-4089.7256237522934,-4313.928306401265
2034-11-30,109,-2875.7772215718787,-3037.0735840920966,-423307.7049235297,-601029.1896365988,-4093.127689355893,-4322.702707431537
2034-12-31,110,-2868.7758421379176,-3033.3081047026567,-426176.4807656676,-604062.4977413015,-4096.529754959492,-4331.477114508142
2035-01-31,111,-2861.789534546653,-3029.5348662763076,-429038.2703002143,-607092.0326075777,-4099.931820563092,-4340.251527867588
2035-02-28,112,-2854.818274984999,-3025.753959458628,-431893.0885751993,-610117.7865670364,-4103.333886166691,-4349.025947409862
2035-03-31,113,-2847.862039634802,-3021.965474203103,-434740.9506148341,-613139.7520412395,-4106.73595177029,-4357.800372770128
2035-04-30,114,-2840.920804673123,-3018.169499824585,-437581.8714195072,-616157.921541064,-4110.138017373889,-4366.574803388331
2035-05-31,115,-2833.994546272523,-3014.366125048396,-440415.8659657797,-619172.2876661124,-4113.540082977488,-4375.349238573914
2035-06-30,116,-2827.083240601348,-3010.5554380538056,-443242.94920638105,-622182.8431041662,-4116.942148581087,-4384.123677563639
2035-07-31,117,-2820.1868638240057,-3006.7375265110954,-446063.1360702051,-625189.5806306773,-4120.344214184686,-4392.898119571233
2035-08-31,118,-2813.30539210125,-3002.9124776119234,-448876.4414623063,-628192.4931082893,-4123.746279788285,-4401.672563828194
2035-09-30,119,-2806.438801590456,-2999.0803780930332,-451682.8802638968,-631191.5734863824,-4127.148345391885,-4410.447009615642
2035-10-31,120,255261.47675540196,330326.6500542376,-196421.4035084948,-300864.92343214474,376616.3980421017,487368.6178661036
