Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2025-11-30,1,-51997.02493121481,-1314.387556505798,-51997.02493121481,-251314.3875565058,-51997.02493121481,-1314.387556505798
2025-12-31,2,-1531.946604726715,-1315.5930396888186,-53528.97153594152,-252629.98059619463,-1536.9617992708133,-1319.899948960032
2026-01-31,3,-1528.3824089046295,-1315.21980862911,-55057.35394484615,-253945.20040482373,-1538.405841736599,-1323.8452791489638
2026-02-28,4,-1524.825161965442,-1314.9157308285644,-56582.17910681159,-255260.1161356523,-1539.8498842023848,-1327.8721301020528
2026-03-31,5,-1521.274856509875,-1314.3165810620565,-58103.453963321466,-256574.43271671433,-1541.2939266681706,-1331.6122036998067
2026-04-30,6,-1517.7314851129513,-1314.2608445803564,-59621.185448434415,-257888.6935612947,-1542.7379691339565,-1335.914900737059
2026-05-31,7,-1514.1950403242395,-1314.3435406036335,-61135.38048875865,-259203.03710189834,-1544.1820115997423,-1340.3726722205117
2026-06-30,8,-1510.6655146681014,-1313.879421823629,-62646.04600342675,-260516.91652372197,-1545.626054065528,-1344.2858439231134
2026-07-31,9,-1507.1429006439328,-1313.7804578040673,-64153.18890407069,-261830.69698152604,-1547.0700965313138,-1348.5851001968651
2026-08-31,10,-1503.6271907264081,-1313.5565448724199,-65656.81609479709,-263144.25352639845,-1548.5141389970995,-1352.7694196088976
2026-09-30,11,-1500.118377365721,-1312.9741295179078,-67156.93447216281,-264457.22765591636,-1549.9581814628852,-1356.5962692017974
2026-10-31,12,-1496.616452987825,-1313.4902070086607,-68653.55092515064,-265770.717862925,-1551.402223928671,-1361.5723816169645
2026-11-30,13,-1493.12140999467,-1313.3932380260896,-70146.67233514531,-267084.1111009511,-1552.846266394457,-1365.9289675471332
2026-12-31,14,-1489.6332407644413,-1313.6853360593727,-71636.30557590975,-268397.79643701046,-1554.2903088602427,-1370.7054400055347
2027-01-31,15,-1486.1519376517963,-1313.6774697324213,-73122.45751356155,-269711.47390674293,-1555.7343513260287,-1375.1845383016494
2027-02-28,16,-1482.6774929880962,-1313.7681685912733,-74605.13500654964,-271025.2420753342,-1557.1783937918144,-1379.7817908861973
2027-03-31,17,-1479.2098990816426,-1313.9485415373028,-76084.34490563128,-272339.19061687146,-1558.6224362576002,-1384.4888938340982
2027-04-30,18,-1475.7491482179082,-1313.7528168248907,-77560.09405384919,-273652.94343369635,-1560.066478723386,-1388.8144427065613
