Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2025-11-30,1,-51997.024914839465,-1314.387555875898,-51997.024914839465,-251314.3875558759,-51997.024914839465,-1314.387555875898
2025-12-31,2,-1531.946588404803,-1315.5930381563776,-53528.97150324427,-252629.98059403227,-1536.9617828954676,-1319.899947422574
2026-01-31,3,-1528.382392635977,-1315.2198074084592,-55057.353895880246,-253945.20040144073,-1538.4058253612536,-1323.8452779203076
2026-02-28,4,-1524.8251457498752,-1314.9157296289604,-56582.17904163012,-255260.1161310697,-1539.8498678270394,-1327.8721288906286
2026-03-31,5,-1521.2748403472203,-1314.3165804928144,-58103.453881977344,-256574.43271156252,-1541.293910292825,-1331.6122031230739
2026-04-30,6,-1517.7314690030362,-1314.2608440167724,-59621.18535098038,-257888.6935555793,-1542.7379527586108,-1335.9149001641892
2026-05-31,7,-1514.1950242668922,-1314.3435402788277,-61135.38037524727,-259203.0370958581,-1544.1819952243968,-1340.3726718892735
2026-06-30,8,-1510.6654986631502,-1313.8794218714609,-62646.045873910414,-260516.91651772958,-1545.6260376901826,-1344.2858439720521
2026-07-31,9,-1507.1428846912065,-1313.7804581412543,-64153.188758601624,-261830.69697587081,-1547.0700801559683,-1348.585100542985
2026-08-31,10,-1503.6271748257366,-1313.5565455987,-65656.81593342737,-263144.25352146954,-1548.514122621754,-1352.769420356859
2026-09-30,11,-1500.1183615169343,-1312.9741311756743,-67156.9342949443,-264457.2276526452,-1549.9581650875398,-1356.5962709146413
2026-10-31,12,-1496.6164371907537,-1313.4902090274213,-68653.55073213505,-265770.71786167263,-1551.4022075533255,-1361.5723837096248
2026-11-30,13,-1493.1213942491454,-1313.3932401809486,-70146.67212638419,-267084.11110185354,-1552.8462500191113,-1365.9289697881866
2026-12-31,14,-1489.6332250702956,-1313.6853381266076,-71636.30535145449,-268397.79643998016,-1554.2902924848972,-1370.705442162497
2027-01-31,15,-1486.1519220088612,-1313.6774720495496,-73122.45727346335,-269711.4739120297,-1555.734334950683,-1375.1845407272667
2027-02-28,16,-1482.677477396205,-1313.76817101043,-74605.13475085956,-271025.2420830402,-1557.178377416469,-1379.7817934269108
2027-03-31,17,-1479.2098835406287,-1313.9485441336878,-76084.34463440019,-272339.19062717387,-1558.6224198822547,-1384.4888965698722
2027-04-30,18,-1475.7491327276055,-1313.7528196814458,-77560.0937671278,-273652.9434468553,-1560.0664623480404,-1388.8144457263263
2027-05-31,19,-1472.295217220011,-1313.8084052978716,-79032.38898434781,-274966.75185215316,-1561.5105048138262,-1393.4200167131016
2027-06-30,20,-1468.848129258352,-1313.4532400811652,-80501.23711360616,-276280.2050922343,-1562.954547279612,-1397.6037912513987
2027-07-31,21,-1465.4078610609959,-1313.5383971355477,-81966.64497466716,-277593.74348936987,-1564.3985897453977,-1402.2700919370516
2027-08-31,22,-1461.9744048243972,-1313.263046770799,-83428.61937949156,-278907.0065361407,-1565.8426322111836,-1406.5658462661415
2027-09-30,23,-1458.5477527233227,-1313.2524104984375,-84887.16713221488,-280220.25894663914,-1567.2866746769694,-1411.1591475963462
2027-10-31,24,-1455.1278969110786,-1313.3127041026619,-86342.29502912595,-281533.5716507418,-1568.730717142755,-1415.8439162035793
2027-11-30,25,-1451.7148295197308,-1313.173726611145,-87794.00985864567,-282846.7453773529,-1570.1747596085409,-1420.3287027026145
2027-12-31,26,-1448.3085426603288,-1313.0216725485745,-89242.31840130601,-284159.7670499015,-1571.6188020743266,-1424.8134892016496
2028-01-31,27,-1444.9090284231268,-1312.8566287339227,-90687.22742972913,-285472.6236786354,-1573.0628445401123,-1429.2982757006848
2028-02-29,28,-1441.516278877802,-1312.6786815588048,-92128.74370860693,-286785.3023601942,-1574.506887005898,-1433.78306219972
2028-03-31,29,-1438.1302860736753,-1312.4879169893434,-93566.8739946806,-288097.7902771836,-1575.9509294716843,-1438.2678486987552
2028-04-30,30,-1434.7510420399256,-1312.2844205680246,-95001.62503672052,-289410.0746977516,-1577.39497193747,-1442.7526351977904
2028-05-31,31,-1431.3785387858088,-1312.0682774155493,-96433.00357550633,-290722.14297516714,-1578.8390144032558,-1447.2374216968255
2028-06-30,32,-1428.0127683008714,-1311.8395722326734,-97861.0163438072,-292033.9825473998,-1580.2830568690415,-1451.7222081958607
2028-07-31,33,-1424.6537225551638,-1311.5983893020425,-99285.67006636236,-293345.58093670185,-1581.7270993348272,-1456.206994694896
2028-08-31,34,-1421.3013934994538,-1311.3448124900187,-100706.97145986182,-294656.9257491919,-1583.171141800613,-1460.691781193931
2028-09-30,35,-1417.9557730654371,-1311.0789252485,-102124.92723292725,-295968.00467444037,-1584.6151842663987,-1465.1765676929663
2028-10-31,36,-1414.6168531659482,-1310.8008106167324,-103539.5440860932,-297278.8054850571,-1586.0592267321845,-1469.6613541920015
2028-11-30,37,-1411.2846256951689,-1310.5105512231137,-104950.82871178837,-298589.31603628024,-1587.5032691979704,-1474.1461406910366
2028-12-31,38,-1407.9590825288358,-1310.2082292869914,-106358.7877943172,-299899.5242655672,-1588.9473116637562,-1478.6309271900718
2029-01-31,39,-1404.6402155244475,-1309.893926620451,-107763.42800984165,-301209.4181921877,-1590.391354129542,-1483.115713689107
2029-02-28,40,-1401.3280165214717,-1309.5677246301013,-109164.75602636312,-302518.9859168178,-1591.8353965953277,-1487.6005001881422
2029-03-31,41,-1398.0224773415455,-1309.2297043188457,-110562.77850370466,-303828.2156211366,-1593.2794390611134,-1492.0852866871774
2029-04-30,42,-1394.723589788683,-1308.8799462876525,-111957.50209349334,-305137.09556742426,-1594.7234815268994,-1496.5700731862125
2029-05-31,43,-1391.4313456494742,-1308.5185307373151,-113348.93343914281,-306445.6140981616,-1596.1675239926853,-1501.0548596852477
2029-06-30,44,-1388.145736693288,-1308.1455374702055,-114737.0791758361,-307753.7596356318,-1597.611566458471,-1505.539646184283
2029-07-31,45,-1384.8667546724712,-1307.7610458920196,-116121.94593050858,-309061.52068152383,-1599.0556089242568,-1510.024432683318
2029-08-31,46,-1381.5943913225472,-1307.3651350135167,-117503.54032183113,-310368.8858165373,-1600.4996513900426,-1514.5092191823533
2029-09-30,47,-1378.3286383624136,-1306.9578834522524,-118881.86896019353,-311675.8436999896,-1601.9436938558283,-1518.9940056813884
2029-10-31,48,-1375.0694874945393,-1306.5393694343022,-120256.93844768807,-312982.3830694239,-1603.387736321614,-1523.4787921804236
2029-11-30,49,-1371.816930405159,-1306.1096707959794,-121628.75537809322,-314288.49274021987,-1604.8317787873998,-1527.9635786794588
2029-12-31,50,-1368.5709587644683,-1305.6688649855466,-122997.32633685769,-315594.1616052054,-1606.2758212531855,-1532.448365178494
2030-01-31,51,-1365.331564226816,-1305.2170290649185,-124362.6579010845,-316899.37863427034,-1607.7198637189713,-1536.9331516775292
2030-02-28,52,-1362.0987384308978,-1304.754239711359,-125724.7566395154,-318204.13287398167,-1609.1639061847573,-1541.4179381765643
2030-03-31,53,-1358.8724729999444,-1304.2805732191712,-127083.62911251534,-319508.41344720084,-1610.6079486505432,-1545.9027246755995
2030-04-30,54,-1355.6527595419145,-1303.79610550138,-128439.28187205725,-320812.20955270226,-1612.0519911163287,-1550.3875111746347
2030-05-31,55,-1352.4395896496833,-1303.3009120914076,-129791.72146170694,-322115.51046479365,-1613.4960335821147,-1554.87229767367
2030-06-30,56,-1349.2329549012275,-1302.795068144743,-131140.95441660818,-323418.3055329384,-1614.9400760479004,-1559.357084172705
2030-07-31,57,-1346.032846859815,-1302.2786484406047,-132486.98726346798,-324720.584181379,-1616.3841185136862,-1563.8418706717403
2030-08-31,58,-1342.8392570741903,-1301.7517273835947,-133829.82652054218,-326022.3359087626,-1617.8281609794722,-1568.3266571707754
2030-09-30,59,-1339.6521770787565,-1301.2143790053487,-135169.47869762094,-327323.55028776795,-1619.272203445258,-1572.8114436698106
2030-10-31,60,-1336.4715983937626,-1300.6666769661763,-136505.9502960147,-328624.21696473414,-1620.7162459110436,-1577.2962301688458
2030-11-30,61,-1333.297512525483,-1300.1086945566972,-137839.24780854018,-329924.32565929083,-1622.1602883768294,-1581.781016667881
2030-12-31,62,-1330.1299109664003,-1299.540504699469,-139169.3777195066,-331223.8661639903,-1623.6043308426151,-1586.2658031669162
2031-01-31,63,-1326.9687851953865,-1298.9621799506094,-140496.34650470197,-332522.8283439409,-1625.0483733084009,-1590.7505896659513
