Date,Month,Buying_Wealth,Renting_Wealth,Wealth_Difference,Buying_Equity,Buying_CumulativeCosts,Renting_InvestmentValue,Renting_CumulativeRent
2025-11-30,1,-7950.520086466378,250099.14879097542,258049.66887744179,44046.50482837309,51997.024914839465,251413.53634685132,1314.387555875898
2025-12-31,2,-8397.95152767071,250200.77753041964,258598.72905809036,45136.03517006422,53533.98669773493,252835.0650337181,2634.287503298472
2026-01-31,3,-8845.954764919567,250306.49846923407,259152.45323415363,46226.43775817662,55072.39252309618,254264.63125045283,3958.1327812187797
2026-02-28,4,-9294.52526419155,250416.27553230847,259710.80079650003,47317.71712673167,56612.242390923224,255702.2804424179,5286.004910109408
2026-03-31,5,-9743.658467896923,250530.4411986979,260274.09966659482,48409.87783331913,58153.53630121605,257148.0583119304,6617.617113232482
2026-04-30,6,-10193.349794755188,250648.47880631834,260841.82860107353,49502.924459219474,59696.27425397466,258602.010819715,7953.532013396671
2026-05-31,7,-10643.594639671916,250770.2795010791,261413.874140751,50596.86160952714,61240.45624919906,260064.18418636502,9293.904685285945
2026-06-30,8,-11094.388373614944,250896.4343645537,261990.82273816864,51691.6939132743,62786.08228688924,261534.62489381168,10638.190529257998
2026-07-31,9,-11545.726343489929,251026.60405700078,262572.3304004907,52787.42602355528,64333.15236704521,263013.37968680175,11986.775629800983
2026-08-31,10,-11997.603872015345,251160.95052422598,263158.5543962413,53884.06261765162,65881.66648966697,264500.4955743838,13339.545050157842
2026-09-30,11,-12450.016257596639,251299.87851032964,263749.8947679263,54981.60839715786,67431.6246547545,265996.0198314021,14696.141321072482
2026-10-31,12,-12902.958774199971,251442.2862952179,264345.24506941787,56080.06808810786,68983.02686230783,267500.0,16057.713704782107
2026-11-30,13,-13356.426671225068,251588.8412165606,264945.2678877857,57179.44644110187,70535.87311232694,269012.4838911309,17423.642674570292
2026-12-31,14,-13810.415173377638,251739.17146934557,265549.5866427232,58279.748231434205,72090.16340481184,270533.51958607836,18794.34811673279
2027-01-31,15,-14264.919480540877,251893.6227805245,266158.5422610654,59380.97825922165,73645.89773976253,272063.15543798456,20169.532657460055
2027-02-28,16,-14719.934767646555,252052.12562250014,266772.0603901467,60483.14134953244,75203.07611717899,273601.4400733871,21549.314450886966
2027-03-31,17,-15175.45618454527,252214.61904630868,267390.075230854,61586.24235251598,76761.69853706125,275148.42239376553,22933.80334745684
2027-04-30,18,-15631.478855876048,252381.53378391187,268013.0126397879,62690.286143533245,78321.7649994093,276704.15157709504,24322.617793183166
2027-05-31,19,-16087.997880935305,252552.63926951424,268640.63715044956,63795.27762328781,79883.27550422311,278268.6770794105,25716.03780989627
2027-06-30,20,-16545.008333545207,252728.40703523083,269273.41536877607,64901.221717957524,81446.23005150273,279842.0486363785,27113.64160114767
2027-07-31,21,-17002.505261921062,252908.4045717932,269910.90983371425,66008.12337932707,83010.62864124813,281424.3162648779,28515.91169308472
2027-08-31,22,-17460.483688538385,253093.05272523977,270553.53641377814,67115.98758492092,84576.4712734593,283015.53026459063,29922.47753935086
2027-09-30,23,-17918.938609999022,253282.10453265306,271201.0431426521,68224.81933813725,86143.75794813628,284615.74121960026,31333.636686947208
2027-10-31,24,-18377.86499689668,253475.51939684915,271853.3843937458,69334.62366838235,87712.48866527903,286224.99999999994,32749.480603150787
2027-11-30,25,-18837.257793681696,253673.5484576567,272510.8062513384,70445.40563120588,89282.66342488758,287843.3577635101,34169.8093058534
2027-12-31,26,-19297.111918525203,253876.2431620488,273173.355080574,71557.1703084367,90854.2822269619,289470.86595710384,35594.62279505505
2028-01-31,27,-19757.42226318248,254083.65524788765,273841.0775110701,72669.92280831953,92427.34507150202,291107.5763186434,37023.921070755736
2028-02-29,28,-20218.18369285566,254295.83674556873,274514.02043842437,73783.66826565226,94001.85195850792,292753.5408785242,38457.704132955456
2028-03-31,29,-20679.39104605571,254512.83997967487,275192.2310257306,74898.4118419239,95577.8028879796,294408.8119613291,39895.97198165421
2028-04-30,30,-21141.039134463615,254734.71757063968,275875.7567051033,76014.15872545345,97155.19785991707,296073.4421874917,41338.72461685201
2028-05-31,31,-21603.122742791078,254961.52243642043,276564.6451792115,77130.91413152925,98734.03687432033,297747.4844749693,42785.96203854883
2028-06-30,32,-22065.63662864013,255193.30779418032,277258.94442282047,78248.68330254924,100314.31993118937,299430.992040925,44237.68424674469
2028-07-31,33,-22528.575522362386,255430.12716197976,277958.70268434216,79367.4715081618,101896.04703052419,301124.01840341935,45693.89124143959
2028-08-31,34,-22991.93412691726,255672.03436047852,278663.9684873958,80487.28404540755,103479.2181723248,302826.617383112,47154.583022633524
2028-09-30,35,-23455.707117729675,255919.08351464578,279374.79063237546,81608.12623886153,105063.8333565912,304538.8431049723,48619.75959032649
2028-10-31,36,-23919.88914254686,256171.32905548144,280091.2181980283,82730.00344077652,106649.89258332338,306260.74999999994,50089.42094451849
2028-11-30,37,-24384.47482129457,256428.8257217462,280813.30054304074,83852.92103122678,108237.39585252135,307992.39280695573,51563.56708520953
2028-12-31,38,-24849.458745932367,256691.6285617015,281541.0873076339,84976.88441825274,109826.3431641851,309733.8265741011,53042.1980123996
2029-01-31,39,-25314.835480308306,256959.79293485972,282274.62841516803,86101.89903800635,111416.73451831465,311485.1066609484,54525.31372608871
2029-02-28,40,-25780.59956001278,257233.37451374403,283013.97407375684,87227.9703548972,113008.56991490998,313246.2887400209,56012.91422627685
2029-03-31,41,-26246.745492231697,257512.42928565806,283759.17477788974,88355.1038617394,114601.84935397109,315017.4287986221,57504.99951296403
2029-04-30,42,-26713.26775559876,257797.01355446584,284510.2813100646,89483.30507989923,116196.572835498,316798.5831406161,59001.569586150246
2029-05-31,43,-27180.160800047044,258087.1839423817,285267.34474242874,90612.57955944363,117792.74035949068,318589.8083882172,60502.62444583549
2029-06-30,44,-27647.41904665988,258382.99739176995,286030.41643842985,91742.93287928926,119390.35192594914,320391.16148378974,62008.164092019775
2029-07-31,45,-28115.036887520866,258684.51116695564,286799.5480544765,92874.37064735254,120989.4075348734,322202.6996916587,63518.188524703095
2029-08-31,46,-28583.00868556302,258991.78285604436,287574.79154160735,94006.89850070042,122589.90718626344,324024.4805999298,65032.69774388545
2029-09-30,47,-29051.32877441746,259304.87037275344,288356.1991471709,95140.52210570182,124191.85088011928,325856.5621223203,66551.69174956685
2029-10-31,48,-29519.991458260876,259623.83195825267,289143.82341651357,96275.24715818002,125795.2386164409,327699.00249999994,68075.17054174727
2029-11-30,49,-29988.99101166254,259948.7261830159,289937.71719467844,97411.07938356575,127400.0703952283,329551.86030344263,69603.13412042672
2029-12-31,50,-30458.321679430417,260279.61194868298,290737.9336281134,98548.02453705107,129006.34621648148,331415.1944342882,71135.58248560522
2030-01-31,51,-30927.977676456358,260616.5484899321,291544.5261663884,99686.0884037441,130614.06608020046,333289.06412721484,72672.51563728275
2030-02-28,52,-31397.95318756072,260959.595376363,292357.5485639237,100825.27679882449,132223.2299863852,335173.5289518223,74213.93357545932
2030-03-31,53,-31868.242367335974,261308.8125143907,293177.0548817267,101965.59556769978,133833.83793503576,337068.64881452563,75759.83630013492
2030-04-30,54,-32338.839339989616,261664.26014914963,294003.0994891393,103107.05058616248,135445.8899261521,338974.4839604592,77310.22381130955
2030-05-31,55,-32809.73819918613,262025.99886640912,294835.7370655952,104249.64776054808,137059.3859597342,340891.09497539233,78865.09610898323
2030-06-30,56,-33280.93300788841,262394.08959449903,295675.0226023875,105393.3930278937,138674.3260357821,342818.54278765497,80424.45319315593
2030-07-31,57,-33752.417798197945,262768.59360624716,296521.0114044451,106538.29235609787,140290.7101542958,344756.8886700748,81988.29506382767
2030-08-31,58,-34224.18657119456,263149.5725209265,297373.75909212104,107684.35174408072,141908.53831527528,346706.1942419249,83556.62172099845
2030-09-30,59,-34696.23329677514,263537.0883062144,298233.32160298957,108831.5772219454,143527.81051872054,348666.5214708827,85129.43316466825
2030-10-31,60,-35168.55191349148,263931.2032801628,299099.75519365433,109979.97485114011,145148.5267646316,350637.93267499993,86706.72939483711
2030-11-30,61,-35641.136328387336,264331.98011317855,299973.1164415659,111129.55072462108,146770.6870530084,352620.49052468356,88288.51041150499
2030-12-31,62,-36113.98041683476,264739.4818300164,300853.4622468512,112280.31096701627,148394.29138385103,354614.2580446883,89874.7762146719
2031-01-31,63,-36587.07802236939,265153.771811782,301740.84983415133,113432.26173479005,150019.33975715944,356619.29861611984,91465.52680433786
2031-02-28,64,-37060.42295652488,265574.913797947,302635.3367544719,114585.40921640873,151645.83217293362,358635.6759784499,93060.76218050285
2031-03-31,65,-37534.008998666744,266002.9718883756,303536.98088704236,115739.75963250684,153273.7686311736,360663.4542315424,94660.48234316686
2031-04-30,66,-38007.82989582498,266438.01054536144,304445.84044118645,116895.31923605438,154903.14913187936,362702.69783769135,96264.68729232992
2031-05-31,67,-38481.87936252603,266880.0945956778,305361.9739582038,118052.09431252486,156533.9736750509,364753.4716236698,97873.37702799201
2031-06-30,68,-38956.15108062388,267329.2892326376,306285.44031326147,119210.09118006434,158166.24226068822,366815.8407827908,99486.55155015315
2031-07-31,69,-39430.638699130155,267785.6600181667,307216.29871729686,120369.31618966119,159799.95488879134,368889.87087698,101104.21085881331
2031-08-31,70,-39905.33583404339,268249.2728848871,308154.6087189305,121529.77572531684,161435.11155936023,370975.6278388596,102726.3549539725
2031-09-30,71,-40380.23606817753,268720.1941382137,309100.43020639126,122691.47620421738,163071.7122723949,373073.17797384446,104352.98383563074
2031-10-31,72,-40855.33295098934,269198.49045846186,310053.8234094512,123854.42407690606,164709.7570278954,375182.5879622499,105984.09750378801
2031-11-30,73,-41330.61999840499,269684.2289029671,311014.8489013721,125018.62582745665,166349.24582586164,377303.92486141145,107619.69595844431
2031-12-31,74,-41806.0906926459,270177.47690821683,311983.5676008627,126184.08797364778,167990.17866629368,379437.2561078165,109259.77919959965
2032-01-31,75,-42281.73848205336,270678.30229199416,312960.0407740475,127350.81706713815,169632.55554919151,381582.64951924817,110904.34722725402
2032-02-29,76,-42757.556780912564,271186.77325553395,313944.3300364465,128518.81969364258,171276.37647455515,383740.1732969414,112553.40004140744
2032-03-31,77,-43233.538969275454,271702.9583856905,314936.497354966,129688.10247310909,172921.64144238454,385909.8960277504,114206.93764205989
2032-04-30,78,-43709.678392782895,272226.92665711837,315936.6050499013,130858.67205989684,174568.35045267973,388091.88668632973,115864.96002921136
2032-05-31,79,-44185.96836248576,272758.74743446475,316944.7157969505,132030.53514295496,176216.50350544072,390286.21463732666,117527.46720286188
2032-06-30,80,-44662.40215466503,273298.49047457473,317960.89262923977,133203.69844600244,177866.10060066747,392492.94963758613,119194.45916301143
2032-07-31,81,-45138.97301065127,273846.2259287086,318985.19893935986,134378.16872770875,179517.14173836002,394712.16183836863,120865.93590966001
2032-08-31,82,-45615.674136642716,274402.02434477216,320017.6984814149,135553.95278187565,181169.62691851836,396943.9217875798,122541.89744280763
2032-09-30,83,-46092.49870352281,274965.9566695593,321058.4553730821,136731.05743761966,182823.55614114247,399188.3004320136,124222.34376245429
2032-10-31,84,-46569.4398466766,275538.0942510074,322107.534097684,137909.48955955578,184478.92940623238,401445.3691196074,125907.27486859998
2032-11-30,85,-47046.490665806166,276118.50884046545,323164.9995062716,139089.2560479819,186135.74671378807,403715.1996017102,127596.69076124471
2032-12-31,86,-47523.64422474516,276707.2725949752,324230.91681972035,140270.36383906438,187794.00806380954,405997.86403536366,129290.59144038847
2033-01-31,87,-48000.89355127246,277304.4580795643,325305.3516308368,141452.81990502434,189453.7134562968,408293.4349855956,130988.97690603127
2033-02-28,88,-48478.23163692455,277910.1382695541,326388.3699064787,142636.6312543253,191114.86289124985,410601.9854277272,132691.8471581731
2033-03-31,89,-48955.6514368073,278524.3865528789,327480.0379896862,143821.80493186138,192777.45636866867,412923.5887496929,134399.20219681397
2033-04-30,90,-49433.14586940652,279147.2767324189,328580.42260182544,145008.34801914677,194441.4938885533,415258.3187543728,136111.04202195388
