Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2025-11-30,1,-68969.63611664347,-3385.469047971271,-68969.63611664347,-253385.46904797127,-68969.63611664347,-3385.469047971271
2025-12-31,2,-3716.938423328633,-3386.108405102632,-72686.57453997209,-256771.5774530739,-3729.1067125130676,-3397.1936428952545
2026-01-31,3,-3708.1897395267224,-3385.5120613102104,-76394.7642794988,-260157.0895143841,-3732.508778116667,-3407.7149161393795
2026-02-28,4,-3699.4585743758716,-3383.849878863309,-80094.22285387467,-263540.9393932474,-3735.910843720266,-3417.1923274204282
2026-03-31,5,-3690.7449066993463,-3381.30565455126,-83784.96776057401,-266922.2450477987,-3739.3129093238654,-3425.8016210989485
2026-04-30,6,-3682.04871527208,-3378.0657174890307,-87467.01647584609,-270300.3107652877,-3742.714974927464,-3433.723485160635
2026-05-31,7,-3673.3699788212202,-3374.309741769262,-91140.38645466731,-273674.620507057,-3746.1170405310636,-3441.13424363754
2026-06-30,8,-3664.708676026665,-3370.203748635732,-94805.09513069398,-277044.8242556927,-3749.519106134663,-3448.1986057285153
2026-07-31,9,-3656.064785521595,-3365.8951760778123,-98461.15991621558,-280410.7194317705,-3752.921171738262,-3455.064395515618
2026-08-31,10,-3647.4382858930094,-3361.5098224552844,-102108.59820210858,-283772.2292542258,-3756.3232373418614,-3461.859110126171
2026-09-30,11,-3638.8291556822514,-3357.150423063482,-105747.42735779083,-287129.3796772893,-3759.7253029454605,-3468.6881003126714
2026-10-31,12,-3630.237373385538,-3352.896591834852,-109377.66473117637,-290482.2762691241,-3763.1273685490596,-3475.6341337761355
2026-11-30,13,-3621.6629174544796,-3348.805851595071,-112999.32764863085,-293831.0821207192,-3766.5294341526587,-3482.7580856588743
2026-12-31,14,-3613.1057662966,-3344.91548218907,-116612.43341492745,-297175.9976029083,-3769.9314997562583,-3490.100499674054
2027-01-31,15,-3604.5658982758564,-3341.2449330876434,-120216.99931320331,-300517.2425359959,-3773.3335653598574,-3497.6837743869974
2027-02-28,16,-3596.0432917131507,-3337.7985726414,-123813.04260491647,-303855.0411086373,-3776.7356309634565,-3505.514749314452
2027-03-31,17,-3587.537924886844,-3334.568577085576,-127400.58052980331,-307189.6096857229,-3780.137696567056,-3513.5874920198203
2027-04-30,18,-3579.0497760332605,-3331.537796175151,-130979.63030583657,-310521.147481898,-3783.539762170655,-3521.886117765449
2027-05-31,19,-3570.578823347198,-3328.6824667912038,-134550.2091291838,-313849.82994868926,-3786.9418277742543,-3530.387505366283
2027-06-30,20,-3562.1250449824283,-3325.9746792614587,-138112.3341741662,-317175.8046279507,-3790.343893377854,-3539.063804855908
2027-07-31,21,-3553.6884190521964,-3323.3845321419103,-141666.0225932184,-320499.1891600926,-3793.745958981453,-3547.88466297716
2027-08-31,22,-3545.268923629718,-3320.8819388591583,-145211.2915168481,-323820.07109895174,-3797.148024585052,-3556.8191202570274
2027-09-30,23,-3536.8665367486747,-3318.438073312645,-148748.1580535968,-327138.5091722644,-3800.5500901886517,-3565.837157770597
2027-10-31,24,-3528.481236403706,-3316.0264609874766,-152276.6392900005,-330454.5356332519,-3803.952155792251,-3574.910892198449
2027-11-30,25,-3520.1130005508962,-3313.6237372953733,-155796.75229055138,-333768.1593705473,-3807.35422139585,-3584.015434258676
2027-12-31,26,-3511.761807108261,-3311.2101059138326,-159308.51409765964,-337079.3694764611,-3810.756286999449,-3593.129438091828
2028-01-31,27,-3503.427633956231,-3308.769537158863,-162811.94173161587,-340388.13901362,-3814.1583526030486,-3602.23537791238
2028-02-29,28,-3495.1104589381307,-3306.289750341265,-166307.052190554,-343694.42876396124,-3817.5604182066472,-3611.319593561544
2028-03-31,29,-3486.8102598606592,-3303.762025123567,-169793.86245041466,-346998.19078908477,-3820.962483810247,-3620.3721489389504
2028-04-30,30,-3478.5270144943624,-3301.1808856472603,-173272.389464909,-350299.3716747321,-3824.3645494138464,-3629.3865471408853
2028-05-31,31,-3470.260700574105,-3298.543698169604,-176742.65016548312,-353597.91537290165,-3827.7666150174455,-3638.359343994239
2028-06-30,32,-3462.011295799544,-3295.850218641793,-180204.66146128267,-356893.76559154346,-3831.1686806210446,-3647.289698043083
2028-07-31,33,-3453.778777835589,-3293.1021215376377,-183658.44023911827,-360186.86771308107,-3834.5707462246437,-3656.1788903839433
2028-08-31,34,-3445.5631243128732,-3290.3025357093643,-187104.00336343114,-363477.1702487904,-3837.9728118282433,-3665.0298424761577
2028-09-30,35,-3437.36431282821,-3287.4556074462275,-190541.36767625934,-366764.6258562367,-3841.3748774318424,-3673.8466545392057
2028-10-31,36,-3429.1823209450545,-3284.566105517092,-193970.5499972044,-370049.19196175376,-3844.7769430354415,-3682.6341816924864
2028-11-30,37,-3421.0171261939586,-3281.639077999034,-197391.56712339836,-373330.8310397528,-3848.179008639041,-3691.3976598343056
2028-12-31,38,-3412.868706073025,-3278.679566277106,-200804.4358294714,-376609.5106060299,-3851.58107424264,-3700.142388574138
2029-01-31,39,-3404.7370380483576,-3275.6923778364467,-204209.17286751975,-379885.20298386633,-3854.9831398462393,-3708.873474446277
2029-02-28,40,-3396.6220995545136,-3272.681916398519,-207605.79496707427,-383157.88490026485,-3858.385205449839,-3717.5956342130057
2029-03-31,41,-3388.5238679949407,-3269.6520655792688,-210994.31883506922,-386427.5369658441,-3861.7872710534375,-3726.3130553361216
2029-04-30,42,-3380.442320742431,-3266.606120536725,-214374.76115581166,-389694.1430863808,-3865.189336657037,-3735.029308645077
2029-05-31,43,-3372.3774351395537,-3263.546760972779,-217747.13859095122,-392957.6898473536,-3868.5914022606366,-3743.747306817212
2029-06-30,44,-3364.3291884990963,-3260.4760582857252,-221111.46777945032,-396218.1659056393,-3871.9934678642353,-3752.4693014485165
2029-07-31,45,-3356.297558104502,-3257.395509553657,-224467.76533755483,-399475.561415193,-3875.395533467835,-3761.196911155805
2029-08-31,46,-3348.282521210298,-3254.306091277001,-227816.04785876512,-402729.86750646995,-3878.797599071434,-3769.931173229084
2029-09-30,47,-3340.2840550425312,-3251.2083263352033,-231156.33191380763,-405981.0758328052,-3882.199664675033,-3778.6726117598078
