Date,Month,Buying_Wealth,Renting_Wealth,Wealth_Difference,Buying_Equity,Buying_CumulativeCosts,Renting_InvestmentValue,Renting_CumulativeRent
2025-11-30,1,-18533.913089163398,248028.06729888005,266561.98038804345,50435.72302748007,68969.63611664347,251413.53634685132,3385.469047971271
2025-12-31,2,-19653.5006072838,246052.40234285156,265705.90295013535,53045.24222187273,72698.74282915653,252835.0650337181,6782.662690866526
2026-01-31,3,-20774.213487106215,244074.25364344692,264848.46713055315,55657.03812016698,76431.2516072732,254264.63125045283,10190.377607005905
2026-02-28,4,-21896.03989410287,242094.71050799155,263990.75040209445,58271.122556890594,80167.16245099346,255702.2804424179,13607.569934426334
2026-03-31,5,-23018.96793222893,240114.6867564051,263133.65468863404,60887.5074280884,83906.47536031733,257148.0583119304,17033.371555525282
2026-04-30,6,-24142.985643602777,238134.9157790291,262277.90142263187,63506.20469164202,87649.1903352448,258602.010819715,20467.095040685916
2026-05-31,7,-25268.08100818463,236155.95490204156,261424.03591022617,66127.22636759124,91395.30737577587,260064.18418636502,23908.229284323454
2026-06-30,8,-26394.241943453322,234178.1970037597,260572.43894721303,68750.58453845722,95144.82648191054,261534.62489381168,27356.427890051968
2026-07-31,9,-27521.456304081556,232201.88740123415,259723.34370531572,71376.29134956724,98897.7476536488,263013.37968680175,30811.492285567587
2026-08-31,10,-28649.711881609503,230227.14417869007,258876.85606029956,74004.35900938115,102654.07089099065,264500.4955743838,34273.35139569376
2026-09-30,11,-29778.99640411648,228253.98033539567,258032.97673951215,76634.79978981963,106413.79619393611,265996.0198314021,37742.03949600643
2026-10-31,12,-30909.297535891325,226282.32637021743,257191.62390610875,79267.62602659385,110176.92356248517,267500.0,41217.67362978256
2026-11-30,13,-32040.602877100508,224312.05217568946,256352.65505278995,81902.85011953732,113943.45299663783,269012.4838911309,44700.43171544144
2026-12-31,14,-33172.899963455,222342.98737096286,255515.88733441784,84540.4845329391,117713.3844963941,270533.51958607836,48190.53221511549
2027-01-31,15,-34306.17626587523,220374.93944848207,254681.1157143573,87180.54179587873,121486.71806175396,272063.15543798456,51688.21598950249
2027-02-28,16,-35440.41919015418,218407.70933457016,253848.12852472434,89823.03450256324,125263.45369271742,273601.4400733871,55193.73073881694
2027-03-31,17,-36575.61607661896,216441.10416292876,253016.72023954772,92467.97531266551,129043.59138928447,275148.42239376553,58707.31823083676
2027-04-30,18,-37711.754199790565,214474.94722849282,252186.70142828338,95115.37695166457,132827.13115145513,276704.15157709504,62229.20434860221
2027-05-31,19,-38848.820768041536,212509.08522544202,251357.90599348355,97765.25221118785,136614.0729792294,278268.6770794105,65759.5918539685
2027-06-30,20,-39986.80292325246,210543.3929775541,250530.19590080655,100417.6139493548,140404.41687260725,279842.0486363785,69298.6556588244
2027-07-31,21,-41125.68774046603,208577.77594307635,249703.4636835424,103072.47509112267,144198.1628315887,281424.3162648779,72846.54032180156
2027-08-31,22,-42265.46222753986,206612.17082253203,248877.6330500719,105729.84862863389,147995.31085617375,283015.53026459063,76403.35944205859
2027-09-30,23,-43406.1133247971,204646.54461977107,248052.65794456817,108389.7476215653,151795.8609463624,284615.74121960026,79969.19659982919
2027-10-31,24,-44547.627904675435,202680.8925079723,247228.52041264775,111052.18519747921,155599.81310215464,286224.99999999994,83544.10749202763
2027-11-30,25,-45689.992771374236,200715.23483722378,246405.227608598,113717.17455217626,159407.1673235505,287843.3577635101,87128.1229262863
2027-12-31,26,-46833.19466049981,198749.6135927257,245582.80825322552,116384.72895005014,163217.92361054994,289470.86595710384,90721.25236437813
2028-01-31,27,-47977.22023870886,196784.0885763529,244761.30881506176,119054.86172444414,167032.081963153,291107.5763186434,94323.48774229051
2028-02-29,28,-49122.05610335001,194818.73354267213,243940.78964602214,121727.58627800964,170849.64238135965,292753.5408785242,97934.80733585206
2028-03-31,29,-50267.68878210371,192853.63247653807,243121.32125864178,124402.9160830662,174670.6048651699,294408.8119613291,101555.17948479102
2028-04-30,30,-51414.10473261989,190888.8761555598,242302.98088817968,127080.86468196387,178494.96941458376,296073.4421874917,105184.5660319319
2028-05-31,31,-52561.2903421541,188924.55909904314,241485.84944119724,129761.44568744709,182322.7360296012,297747.4844749693,108822.92537592613
2028-06-30,32,-53709.23192720153,186960.7769669558,240670.00889415733,132444.6727830207,186153.90471022224,299430.992040925,112470.21507396922
2028-07-31,33,-54857.915733129135,184997.6244390662,239855.54017219532,135130.55972331774,189988.47545644687,301124.01840341935,116126.39396435316
2028-08-31,34,-56007.327933805995,183035.1935762827,239042.5215100887,137819.12033446913,193826.44826827513,302826.617383112,119791.42380682932
2028-09-30,35,-57157.45463123155,181073.57264360375,238231.0272748353,140510.3685144754,197667.82314570696,304538.8431049723,123465.27046136852
2028-10-31,36,-58308.281855162146,179112.84535693895,237421.1272121011,143204.31823358027,201512.60008874242,306260.74999999994,127147.904643061
2028-11-30,37,-59459.79556273547,177153.09050406044,236612.8860667959,145900.983534646,205360.77909738146,307992.39280695573,130839.3023028953
2028-12-31,38,-60611.981638092955,175194.3818826317,235806.36352072464,148600.37853353115,209212.3601716241,309733.8265741011,134539.44469146943
2029-01-31,39,-61764.82589200052,173236.78849503273,235001.61438703325,151302.51741946983,213067.34331147035,311485.1066609484,138248.3181659157
2029-02-28,40,-62918.31406146701,171280.37493989218,234198.6890013592,154007.41445545317,216925.72851692018,313246.2887400209,141965.9138001287
2029-03-31,41,-64072.43180936095,169325.20194315727,233397.63375251822,156715.08397861267,220787.51578797362,315017.4287986221,145692.22685546483
2029-04-30,42,-65227.164724024944,167371.32697650616,232598.4917005311,159425.5404006057,224652.70512463065,316798.5831406161,149427.25616410992
2029-05-31,43,-66382.49831888848,165418.80491729005,231801.30323617853,162138.79820800282,228521.2965268913,318589.8083882172,153171.00347092713
2029-06-30,44,-67538.41803207836,163467.68871141408,231006.10674349245,164854.87196267716,232393.28999475553,320391.16148378974,156923.47277237565
2029-07-31,45,-68694.90922602752,161518.03000812727,230212.9392341548,167573.77630219585,236268.68552822337,322202.6996916587,160684.66968353145
2029-08-31,46,-69851.95718708122,159569.87974316927,229421.8369302505,170295.52594021359,240147.4831272948,324024.4805999298,164454.60085676055
2029-09-30,47,-71009.54712510182,157623.28865379994,228632.83577890176,173020.135666868,244029.68279196983,325856.5621223203,168233.27346852035
2029-10-31,48,-72167.66417307113,155678.30771565725,227845.97188872838,175747.62034917733,247915.28452224846,327699.00249999994,172020.6947843427
2029-11-30,49,-73326.29338669064,153734.9884969964,227061.28188368704,178477.99493144004,251804.28831813068,329551.86030344263,175816.87180644623
2029-12-31,50,-74485.41974398005,151793.38343055427,226278.80317453432,181211.27443563647,255696.69417961652,331415.1944342882,179621.81100373392
2030-01-31,51,-75645.0281448733,149853.54600702933,225498.57415190263,183947.47396183264,259592.50210670594,333289.06412721484,183435.5181201855
2030-02-28,52,-76805.10341081274,147915.5308969827,224720.63430779544,186686.60868858622,263491.71209939895,335173.5289518223,187257.9980548396
2030-03-31,53,-77965.63028434105,145979.3940099055,223945.02429424654,189428.69387335452,267394.3241576956,337068.64881452563,191089.25480462014
2030-04-30,54,-79126.59342869121,144045.19250034905,223171.78592904026,192173.74485290458,271300.3382815958,338974.4839604592,194929.29146011014
2030-05-31,55,-80287.97742737422,142112.9847314806,222400.96215885482,194921.77704372542,275209.75447109964,340891.09497539233,198778.11024391174
2030-06-30,56,-81449.76678376459,140182.83020632045,221632.59699008503,197672.8059424425,279122.5727262071,342818.54278765497,202635.71258133452
2030-07-31,57,-82611.94592068391,138254.78947636366,220866.73539704757,200426.8471262342,283038.7930469181,344756.8886700748,206502.09919371115
