Date,forecast,lower,upper
2025-11-30,182531.92820721513,181919.71020367814,183144.1462107521
2025-12-31,183419.02725036885,181985.18046728882,184852.87403344887
2026-01-31,184320.2633454725,181896.81293676232,186743.71375418265
2026-02-28,185235.02404781652,181700.94351418753,188769.1045814455
2026-03-31,186160.95246662194,181422.32836561737,190899.5765676265
2026-04-30,187095.8033404897,181075.45093876458,193116.15574221485
2026-05-31,188037.72429120797,180669.36854236101,195406.08004005492
2026-06-30,188985.2356746238,180210.01878608955,197760.45256315806
2026-07-31,189937.16509705476,179701.43723661185,200172.89295749768
2026-08-31,190892.58553940972,179146.45384273972,202638.7172360797
2026-09-30,191850.7643944098,178547.11448967064,205154.41429914898
2026-10-31,192811.12277531307,177904.946340164,207717.29921046214
2026-11-30,193773.20327764828,177221.12938938683,210325.27716590973
2026-12-31,194736.64448890803,176496.60943269226,212976.6795451238
2027-01-31,195701.16084413815,175732.17336539362,215670.14832288268
2027-02-28,196666.5267083904,174928.49975056236,218404.55366621842
2027-03-31,197632.56379955797,174086.19289945945,221178.9346996565
2027-04-30,198599.1312506851,173205.80584215536,223992.45665921486
2027-05-31,199566.1177578424,172287.85575880314,226844.37975688168
2027-06-30,200533.4353758862,171332.83427466868,229734.03647710374
2027-07-31,201501.01461626994,170341.214252921,232660.81497961888
2027-08-31,202468.8005736525,169313.45420439844,235624.14694290655
2027-09-30,203436.74986539563,168250.00108463,238623.49864616126
2027-10-31,204404.8282133533,167151.29200950955,241658.36441719704
2027-11-30,205373.00853315846,166017.7552562386,244728.26181007831
2027-12-31,206341.26942450154,164849.8108018521,247832.728047151
2028-01-31,207309.59397824638,163647.8705720759,250971.31738441688
2028-02-29,208277.96883389063,162412.33851777832,254143.59915000293
2028-03-31,209246.38343483218,161143.6105975945,257349.15627206987
2028-04-30,210214.829439929,159842.0747183868,260587.58416147117
2028-05-31,211183.30025855175,158508.110666565,263858.4898505385
2028-06-30,212151.7906832128,157142.09005046706,267161.49131595856
2028-07-31,213120.29659929327,155744.3762652807,270496.21693330584
2028-08-31,214088.81475568828,154315.3244861359,273862.30502524064
2028-09-30,215057.34258358568,152855.28169116858,277259.4034760028
2028-10-31,216025.87805327677,151364.58671392186,280687.1693926317
2028-11-30,216994.41956101745,149843.5703229889,284145.268799046
2028-12-31,217962.96583963314,148292.5553259949,287633.37635327136
2029-01-31,218931.5158878847,146711.85669465398,291151.17508111545
2029-02-28,219900.068914658,145101.78170756297,294698.35612175305
2029-03-31,220868.62429486593,143462.63010750408,298274.6184822278
2029-04-30,221837.1815346052,141794.69427024567,301879.6687989647
2029-05-31,222805.74024362545,140098.25938210945,305513.22110514145
2029-06-30,223774.30011357623,138373.60362387105,309174.9966032814
2029-07-31,224742.86090081904,136620.99835886806,312864.72344277
2029-08-31,225711.42241284644,134840.70832347986,316582.136502213
2029-09-30,226679.98449755163,133032.9918184186,320326.97717668465
2029-10-31,227648.54703474964,131198.1008995184,324098.9931699809
2029-11-30,228617.10992947812,129336.28156693393,327897.9382920223
2029-12-31,229585.67310670397,127447.77395185664,331723.5722615513
2030-01-31,230554.23650714091,125532.81250003004,335575.6605142518
2030-02-28,231522.8000839448,123591.62615149484,339453.97401639476
2030-03-31,232491.3638001024,121624.43851612312,343358.2890840817
2030-04-30,233459.92762636827,119631.46804461065,347288.3872081259
2030-05-31,234428.49153963453,117612.92819468907,351244.05488457996
2030-06-30,235397.05552164288,115569.02759239709,355225.08345088863
2030-07-31,236365.6195579667,113499.97018831514,359231.2689276183
2030-08-31,237334.18363720717,111405.95540872184,363262.41186569247
2030-09-30,238302.74775035755,109287.17830167372,367318.31719904137
2030-10-31,239271.31189030135,107143.82967804663,371398.7941025561
2030-11-30,240239.87605141554,104976.09624760514,375503.655855226
2030-12-31,241208.44022925722,102784.16075018924,379632.7197083252
2031-01-31,242177.0044203159,100568.20208212573,383785.8067585061
2031-02-28,243145.5686218178,98328.39541798443,387962.74182565114
2031-03-31,244114.13283157122,96064.91232781013,392163.3533353323
2031-04-30,245082.69704784447,93777.92088996817,396387.4732057208
2031-05-31,246051.26126926928,91467.58579974517,400634.9367387934
2031-06-30,247019.82549476446,89134.06847385029,404905.5825156786
2031-07-31,247988.38972347585,86777.52715096314,409199.25229598855
2031-08-31,248956.95395472847,84398.11698847284,413515.7909209841
2031-09-30,249925.518187989,81995.99015555359,417855.04622042435
2031-10-31,250894.082422836,79571.29592271769,422216.8689229543
2031-11-30,251862.6466589366,77124.18074798567,426601.11256988754
2031-12-31,252831.21089602768,74654.78835980833,431007.63343224704
2032-01-31,253799.77513390136,72163.25983687365,435436.29043092905
2032-02-29,254768.3393723934,69649.73368492496,439886.9450598619
2032-03-31,255736.90361137406,67114.34591071532,444359.46131203277
2032-04-30,256705.46785074077,64557.23009321606,448853.7056082655
2032-05-31,257674.0320904125,61978.51745219526,453369.54672862974
2032-06-30,258642.59633032526,59378.336914275686,457906.8557463748
2032-07-31,259611.16057042847,56756.815176578995,462465.50596427795
2032-08-31,260579.72481068215,54114.07676805739,467045.37285330694
2032-09-30,261548.28905105471,51450.24410861023,471646.33399349917
2032-10-31,262516.85329152126,48765.437566079054,476268.26901696343
2032-11-30,263485.417532062,46059.77551121003,480911.05955291394
2032-12-31,264453.9817726614,43333.3743706698,485574.58917465294
2033-01-31,265422.5460133071,40586.34867819538,490258.74334841885
2033-02-28,266391.11025398946,37818.81112395716,494963.40938402177
2033-03-31,267359.67449470074,35030.87260220869,499688.4763871928
2033-04-30,268328.2387354349,32222.642257294676,504433.8352135751
2033-05-31,269296.8029761871,29394.227528085175,509199.378424289
2033-06-30,270265.36721695354,26545.73419090078,513985.0002430063
