Date,index,MedianPrice,RentalPrice,mortgage_rate
2015-01-01,0,81424.25291823538,1104.2669231530774,3.67
2015-02-01,1,81721.73735811925,1104.2669231530774,3.71
2015-03-01,2,82012.18826988799,1104.2669231530774,3.77
2015-04-01,3,82529.95651797405,1104.2669231530774,3.6719999999999997
2015-05-01,4,82864.4536643927,1104.2669231530774,3.84
2015-06-01,5,83051.54826453484,1104.2669231530774,3.9825
2015-07-01,6,83138.31667675255,1104.2669231530774,4.046
2015-08-01,7,83290.19242623326,1104.2669231530774,3.9050000000000002
2015-09-01,8,83426.3550920515,1104.2669231530774,3.89
2015-10-01,9,83828.05458605697,1104.2669231530774,3.7960000000000003
2015-11-01,10,84144.25784053157,1104.2669231530774,3.9425
2015-12-01,11,84512.51441017374,1104.2669231530774,3.964
2016-01-01,12,84685.19638911336,1104.2669231530774,3.8725
2016-02-01,13,84814.0114070786,1104.2669231530774,3.66
2016-03-01,14,84730.36641633739,1104.2669231530774,3.694
2016-04-01,15,84586.91908770202,1104.2669231530774,3.605
2016-05-01,16,84582.52315884786,1104.2669231530774,3.6
2016-06-01,17,84877.58037027513,1104.2669231530774,3.568
2016-07-01,18,85265.39317185078,1104.2669231530774,3.44
2016-08-01,19,85758.0834716416,1104.2669231530774,3.435
2016-09-01,20,86229.79314929778,1104.2669231530774,3.46
2016-10-01,21,86758.36031910892,1104.2669231530774,3.47
2016-11-01,22,87257.31670010097,1104.2669231530774,3.77
2016-12-01,23,87817.95592516648,1104.2669231530774,4.198
2017-01-01,24,88226.8505148843,1104.2669231530774,4.15
2017-02-01,25,88552.24715607455,1104.2669231530774,4.1675
2017-03-01,26,88661.9575264526,1104.2669231530774,4.196
2017-04-01,27,88853.88785615972,1104.2669231530774,4.045
2017-05-01,28,89040.7386634802,1104.2669231530774,4.01
2017-06-01,29,89230.03197732668,1104.2669231530774,3.904
2017-07-01,30,89729.95694512631,1104.2669231530774,3.9675000000000002
2017-08-01,31,90510.6826196573,1104.2669231530774,3.88
2017-09-01,32,91385.9009914482,1104.2669231530774,3.8049999999999997
2017-10-01,33,92053.9898007899,1104.2669231530774,3.895
2017-11-01,34,92683.05897770192,1104.2669231530774,3.9219999999999997
2017-12-01,35,93358.37084643512,1104.2669231530774,3.95
2018-01-01,36,94156.22660050196,1104.2669231530774,4.032500000000001
2018-02-01,37,94632.98621356236,1104.2669231530774,4.33
2018-03-01,38,95254.78078096636,1104.2669231530774,4.444
2018-04-01,39,95759.90595281648,1104.2669231530774,4.4675
2018-05-01,40,96453.80353879737,1104.2669231530774,4.586
2018-06-01,41,97266.771480831,1104.2669231530774,4.57
2018-07-01,42,98342.07913679206,1104.2669231530774,4.5275
2018-08-01,43,99429.13326088357,1104.2669231530774,4.55
2018-09-01,44,100246.99094847275,1104.2669231530774,4.6274999999999995
2018-10-01,45,100421.40430382417,1104.2669231530774,4.83
2018-11-01,46,100444.93366117153,1104.2669231530774,4.866
2018-12-01,47,100293.68049552194,1104.2669231530774,4.6375
2019-01-01,48,100321.23583535552,1104.2669231530774,4.464
2019-02-01,49,100478.03318848697,1104.2669231530774,4.37
2019-03-01,50,100970.48864676802,1104.2669231530774,4.265
2019-04-01,51,101606.37517156288,1104.2669231530774,4.1425
2019-05-01,52,102256.83884320308,1104.2669231530774,4.072
2019-06-01,53,102915.49678647424,1104.2669231530774,3.8024999999999998
2019-07-01,54,103597.909539449,1104.2669231530774,3.765
2019-08-01,55,104138.53869160992,1104.2669231530774,3.6159999999999997
2019-09-01,56,104550.66344008938,1104.2669231530774,3.605
2019-10-01,57,104990.33576053014,1104.2669231530774,3.6879999999999997
2019-11-01,58,105645.23266793492,1104.2669231530774,3.6950000000000003
2019-12-01,59,106284.75108751988,1104.2669231530774,3.72
2020-01-01,60,107299.08036425024,1104.2669231530774,3.624
2020-02-01,61,108256.4215025581,1104.2669231530774,3.4650000000000003
2020-03-01,62,109106.68452444034,1104.2669231530774,3.45
2020-04-01,63,109565.63211256216,1104.2669231530774,3.306
2020-05-01,64,109858.17503132149,1104.2669231530774,3.2325
2020-06-01,65,110314.55524499358,1104.2669231530774,3.1625
2020-07-01,66,110840.00110968988,1104.2669231530774,3.016
2020-08-01,67,111715.64951842156,1104.2669231530774,2.935
2020-09-01,68,113096.12086003368,1104.2669231530774,2.89
2020-10-01,69,115089.06097797438,1104.2669231530774,2.834
2020-11-01,70,117683.69187528898,1104.2669231530774,2.765
2020-12-01,71,120215.24828143508,1104.2669231530774,2.684
2021-01-01,72,122140.39428062028,1104.2669231530774,2.735
2021-02-01,73,123946.546239733,1104.2669231530774,2.81
2021-03-01,74,125688.21265713438,1104.2669231530774,3.0825
2021-04-01,75,127510.34214514018,1104.2669231530774,3.06
2021-05-01,76,129380.84309744324,1104.2669231530774,2.9625
2021-06-01,77,131458.42840623396,1104.2669231530774,2.975
2021-07-01,78,133171.93482090582,1104.2669231530774,2.868
2021-08-01,79,133933.46443220068,1104.2669231530774,2.8425000000000002
