Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2025-11-30,1,-43525.16637109522,-1281.7556841762982,-43525.16637109522,-251281.75568417629,-43525.16637109522,-1281.7556841762982
2025-12-31,2,-1540.3674933029001,-1280.8358942204259,-45065.53386439812,-252562.59157839674,-1545.4102556449318,-1285.0290176418036
2026-01-31,3,-1537.9526644696193,-1286.7815423119139,-46603.48652886774,-253849.37312070862,-1548.0388609223173,-1295.220509080725
2026-02-28,4,-1535.576255835134,-1295.231066048303,-48139.06278470287,-255144.60418675694,-1550.706912970821,-1307.9935043169314
2026-03-31,5,-1533.2311299371604,-1299.4858870883884,-49672.29391464003,-256444.09007384532,-1553.40753752567,-1316.5863466352057
2026-04-30,6,-1530.910560487916,-1298.451529947028,-51203.204475127946,-257742.54160379234,-1556.1341859077843,-1319.8451082934992
2026-05-31,7,-1528.609030806578,-1301.8108042200972,-52731.81350593452,-259044.35240801246,-1558.8814553473792,-1327.5917387448385
2026-06-30,8,-1526.3221573512822,-1302.0931747531301,-54258.13566328581,-260346.4455827656,-1561.6450302156754,-1332.226833920612
2026-07-31,9,-1524.046485746674,-1305.7801194442095,-55782.18214903248,-261652.2257022098,-1564.4214910310989,-1340.3728170527916
2026-08-31,10,-1521.7793008451943,-1304.7848586277298,-57303.96144987767,-262957.0105608375,-1567.2081339879676,-1343.7358770815194
2026-09-30,11,-1519.5184711680258,-1304.7767044640045,-58823.4799210457,-264261.7872653015,-1570.0028223150512,-1348.126493602129
2026-10-31,12,-1517.2623251765576,-1305.7863538190727,-60340.74224622225,-265567.5736191206,-1572.8038675926857,-1353.5865179394095
2026-11-30,13,-1515.0095535812468,-1308.0118845377126,-61855.7517998035,-266875.58550365834,-1575.6099357244966,-1360.332359919221
2026-12-31,14,-1512.7591323539425,-1310.262043110603,-63368.51093215744,-268185.8475467689,-1578.419972590671,-1367.1335600896891
2027-01-31,15,-1510.5102620856117,-1312.536471994487,-64879.021194243054,-269498.38401876343,-1581.2331452934254,-1373.9901184508135
2027-02-28,16,-1508.2623202252028,-1314.8348162821583,-66387.28351446826,-270813.2188350456,-1584.0487957308278,-1380.9020350025942
2027-03-31,17,-1506.0148234648148,-1317.1567236872218,-67893.29833793307,-272130.3755587328,-1586.8664039133998,-1387.869309745031
2027-04-30,18,-1503.767398115993,-1319.5018445289327,-69397.06573604906,-273449.8774032617,-1589.6855589791874,-1394.891942678124
2027-05-31,19,-1501.5197567795628,-1321.869831717111,-70898.58549282863,-274771.74723497883,-1592.5059362917295,-1401.9699338018734
2027-06-30,20,-1499.271679971997,-1324.2603407371316,-72397.85717280062,-276096.00757571595,-1595.3272793443575,-1409.103283116279
2027-07-31,21,-1497.0230016553326,-1326.6730296349945,-73894.88017445596,-277422.68060535094,-1598.1493854621433,-1416.291990621341
2027-08-31,22,-1494.773597841361,-1329.1075590024657,-75389.65377229732,-278751.7881643534,-1600.972094504509,-1423.536056317059
2027-09-30,23,-1492.5233776169766,-1331.5635919623,-76882.17714991429,-280083.35175631574,-1603.7952799387597,-1430.8354802034335
2027-10-31,24,-1490.2722760763293,-1334.040794153534,-78372.44942599062,-281417.39255046926,-1606.6188417869696,-1438.1902622804641
2027-11-30,25,-1488.0202487546856,-1336.5388337168556,-79860.46967474531,-282753.9313841861,-1609.442701053068,-1445.6004025481511
2027-12-31,26,-1485.767267244981,-1339.0573812800476,-81346.2369419903,-284092.98876546614,-1612.2667953194855,-1453.0659010064942
2028-01-31,27,-1483.513315745796,-1341.596109943508,-82829.75025773609,-285434.58487540967,-1615.0910752679079,-1460.5867576554936
