ds,yhat,yhat_lower,yhat_upper
2025-10-31,181219.97170348186,179861.66333763406,182540.5773085456
2025-11-30,181917.57941920852,180535.04963974535,183177.72778703767
2025-12-31,182892.7379798245,181531.0012228457,184296.2064848046
2026-01-31,183952.3193527266,182662.46502835862,185402.63426417453
2026-02-28,183640.2783019212,182185.56092426882,185035.8825689538
2026-03-31,185282.42056734857,183812.12467052252,186836.00883810298
2026-04-30,186756.07935509633,185179.5013445139,188383.96353387067
2026-05-31,188077.36842445802,186324.73652856782,189708.94878170657
2026-06-30,189103.51442329108,187189.2754579459,191015.38174164336
2026-07-31,190011.48545963658,188005.88068472888,192101.975775546
2026-08-31,190714.3666205347,188462.6657412513,193011.27865810436
2026-09-30,191416.578868739,188918.82533128018,193649.10207988834
2026-10-31,192473.52969232455,189689.2504971757,195106.42635801728
2026-11-30,193134.45351103492,190315.92329504553,195795.47224194306
2026-12-31,194171.62179334855,190996.74291095845,197273.95266405432
2027-01-31,195298.8410355528,191859.51054332135,198679.90423188708
2027-02-28,194701.9481914765,191119.50527089194,198136.72140461515
2027-03-31,196487.5768254921,192524.86620237053,200416.07542046017
2027-04-30,198033.91629951008,193601.62427621873,202386.5008703704
2027-05-31,199355.18103816337,194459.31556808276,203892.0873759885
2027-06-30,200341.67898129014,195229.0154026023,205082.94029437087
2027-07-31,201233.26320322778,195641.23891516874,206583.06923355287
2027-08-31,201914.73484694373,196399.11128351267,207317.82318492245
2027-09-30,202600.92406827613,196256.76848292604,208316.4356588345
2027-10-31,203728.13270773197,197242.47585505038,209966.4107910653
2027-11-30,204352.344435937,197663.0915349329,211040.10680165674
2027-12-31,205451.45251907257,198500.515046182,212366.0530397034
2028-01-31,206642.24721515353,198709.43780650312,214069.5873402099
2028-02-29,206460.94412958136,198933.2981288831,214122.32359320796
2028-03-31,207827.70550132587,199185.04168725578,216054.79633242186
2028-04-30,209152.4429661049,200572.8027485206,218087.2750947502
2028-05-31,210467.77520105094,201064.25806441807,219246.17169637562
2028-06-30,211570.04920199057,201869.83971883662,220902.8133411426
2028-07-31,212510.94364022114,202597.89427035756,222285.0534360527
2028-08-31,213258.31497898596,202854.42303268847,223483.37254378313
2028-09-30,213997.64251394832,202757.2524162138,224394.73207568153
2028-10-31,214914.2835365932,203007.30503336593,226150.8498415972
2028-11-30,215648.54991237106,203412.37759155984,226831.1091452947
2028-12-31,216561.70776587824,204164.21667421603,228444.9891265653
2029-01-31,217549.610804112,204369.4783125685,229932.59651220503
2029-02-28,217524.55109111246,204083.77237494086,230455.2613375667
2029-03-31,219027.02787060261,205113.82640666343,232366.17877117445
2029-04-30,220426.77500441743,205763.70136530502,234229.1210698457
2029-05-31,221746.0820519365,207030.02477446134,235835.07712962182
2029-06-30,222810.83855412545,207354.089136882,237359.88729214566
2029-07-31,223735.2604307673,207855.814657082,238639.2074068174
2029-08-31,224460.12114771662,207386.65498719702,239855.4026840907
2029-09-30,225180.04832366653,208047.8033759912,240929.53471608
2029-10-31,226166.78660602684,207728.47716742853,242644.86224637233
2029-11-30,226864.39432175393,208237.31767551205,243873.0036216309
2029-12-31,227839.55288237002,209011.20584809818,245022.30707244226
2030-01-31,228899.13425527292,208804.84785667097,246649.07879026126
2030-02-28,228587.0932044654,208294.60705206028,246838.30026863245
2030-03-31,230229.23546989387,209797.44168309082,249213.8996263476
2030-04-30,231702.8942576422,209962.78429565142,250883.3373030803
2030-05-31,233024.183327003,211304.09284415958,252797.60814134433
2030-06-30,234050.32932583676,211160.30295572133,254276.1851774133
2030-07-31,234958.30036218188,211786.81450206367,255716.16758850336
2030-08-31,235661.1815230802,211504.26286237346,256976.1386690191
2030-09-30,236363.39377128368,211751.69654812146,258229.15611067973
2030-10-31,237420.3445948698,212234.09067395263,259900.6777050318
2030-11-30,238081.26841358,212206.68175943842,261275.19264334976
2030-12-31,239118.43669589402,212904.04475503956,262908.0135868392
2031-01-31,240245.65593809797,213664.8747700931,264704.70373109804
2031-02-28,239648.76309402342,212312.53882969284,265008.8202635158
2031-03-31,241434.3917280365,213501.26694105382,266833.4679267295
2031-04-30,242980.73120205503,213760.345191935,268990.26896164217
2031-05-31,244301.99594070765,214931.94413917066,270822.1740261432
2031-06-30,245288.49388383556,215164.2133601049,271984.60554250475
2031-07-31,246180.078105773,215175.24244027887,273907.4672828436
2031-08-31,246861.54974948862,215003.52007191535,274754.6537133268
2031-09-30,247547.73897082126,215591.62724239816,275524.9372225059
2031-10-31,248674.94761027684,215748.42084374774,278241.329466691
2031-11-30,249299.15933848152,216063.0753226184,278760.8403548668
2031-12-31,250398.26742161883,216466.60537780225,280910.1412554411
2032-01-31,251589.06211769965,216995.02860154933,282467.6139896533
2032-02-29,251407.7590321268,215998.34901637924,283034.04860695876
2032-03-31,252774.52040387018,216795.31044596303,285167.47415159893
2032-04-30,254099.2578686493,216796.2877638553,286810.9973023476
2032-05-31,255414.59010359505,217302.05055088745,287992.38970509253
2032-06-30,256516.86410453642,217908.7220723202,289165.71121956554
2032-07-31,257457.7585427662,217778.08397537068,292145.03024972364
2032-08-31,258205.12988153103,218147.26133237695,293138.00718725164
2032-09-30,258944.45741649368,218603.3643747557,294863.5580428398
2032-10-31,259861.0984391384,218506.6672899019,296039.3649516196
2032-11-30,260595.36481491552,218753.86659832828,298164.2651431098
2032-12-31,261508.5226684242,218767.61824776587,299502.29856327735
2033-01-31,262496.42570665845,219363.45654171208,300569.98209454387
2033-02-28,262471.36599365884,218051.67842375318,301931.4645164833
2033-03-31,263973.8427731474,219403.95236112436,304072.8385786854
2033-04-30,265373.58990696183,219741.85208703397,306482.0632855287
2033-05-31,266692.8969544818,221060.71956942734,308568.41788967606
2033-06-30,267757.65345667116,219842.28972018915,309680.41814682586
2033-07-31,268682.07533331244,221119.4843556731,311251.3849756706
2033-08-31,269406.9360502623,221314.3333483225,312854.2663773278
2033-09-30,270126.8632262109,220961.4887299579,314668.3774604024
2033-10-31,271113.60150857305,220294.41317552724,315530.9784792227
2033-11-30,271811.20922429854,221385.65184199606,317555.00637597474
2033-12-31,272786.3677849147,220159.49455642106,318841.8919204374
2034-01-31,273845.94915781677,222334.26763537683,320699.5830627566
2034-02-28,273533.9081070118,220818.4170083063,320717.005472065
2034-03-31,275176.05037243903,221609.90144529112,324048.78615646804
2034-04-30,276649.70916018734,221685.17099349527,326045.68727821263
2034-05-31,277970.9982295475,222186.61021817877,327960.28225548845
2034-06-30,278997.1442283814,222400.15792408364,329591.87554869836
2034-07-31,279905.1152647271,222725.79704681045,330467.1400776059
2034-08-31,280607.9964256253,222734.9743083525,332181.22576280305
2034-09-30,281310.2086738293,222384.42824506247,333671.6566524318
2034-10-31,282367.1594974147,223041.5284991458,335238.0108916102
2034-11-30,283028.08331612585,222840.71998667953,336665.835643512
2034-12-31,284065.2515984398,222036.4502047517,338985.9781212954
2035-01-31,285192.4708406442,223457.3351110445,340376.742769288
2035-02-28,284595.57799656584,221576.33729332223,340120.07753900165
2035-03-31,286381.2066305817,222482.1722017465,343230.81387772434
2035-04-30,287927.54610459926,223181.94210311884,345883.3798249905
2035-05-31,289248.81084325275,223624.67780892548,347884.3176990521
2035-06-30,290235.30878638045,223532.60785743283,349862.9907350956
2035-07-31,291126.89300831826,224217.7226026187,350805.9656462082
2035-08-31,291808.36465203355,223629.5902212309,352124.49071897357
2035-09-30,292494.5538733669,223408.6782617291,354391.83733973774
