ds,yhat,yhat_lower,yhat_upper
2025-10-31,1268.8075271313596,1261.147462972353,1277.1192224636463
2025-11-30,1267.788809890311,1259.709079468899,1275.7787488115553
2025-12-31,1277.4836232300095,1269.309412369896,1285.0421720076372
2026-01-31,1294.6608458356168,1286.7710276063826,1303.1124490450845
2026-02-28,1282.8258469927878,1274.1978043911313,1291.1220096777868
2026-03-31,1293.107337103107,1284.2312530991446,1301.8823379473818
2026-04-30,1305.0079866426747,1296.6605138597918,1313.5982236665766
2026-05-31,1305.6871735435284,1297.2597980706348,1313.8919136536222
2026-06-30,1310.889483237919,1302.1562887893726,1319.6225202112114
2026-07-31,1311.2261697980168,1302.569177759122,1320.2114013875955
2026-08-31,1329.2169525153047,1320.8409644893654,1337.7900869731563
2026-09-30,1333.0328955492528,1324.0379922939221,1341.444292121527
2026-10-31,1335.0537488692908,1325.8151641933,1344.3387590566429
2026-11-30,1332.173347641885,1323.00302186054,1341.7960859021903
2026-12-31,1343.337527154122,1333.7905925469665,1353.3506725862726
2027-01-31,1363.8443637404623,1353.9285669490898,1373.9218444403061
2027-02-28,1347.464100268823,1337.089882724256,1357.8818895230804
2027-03-31,1358.7937740190323,1348.0966219253974,1368.8701021561558
2027-04-30,1372.2777679947446,1361.2372759955683,1384.1178899933343
2027-05-31,1371.880414586475,1359.8974258726034,1383.7218055830022
2027-06-30,1376.88831943673,1365.174961528209,1388.24457579742
2027-07-31,1376.2934825218456,1363.527765954725,1388.4855717623786
2027-08-31,1396.8500411614698,1384.0208105897284,1408.5709749652674
2027-09-30,1400.0150635325604,1386.420729331113,1413.5503774102194
2027-10-31,1401.258595167812,1387.2817943989023,1415.4136096559355
2027-11-30,1396.5664183935748,1381.3729707816785,1410.4906039167374
2027-12-31,1409.2555381539532,1392.5589581360805,1423.9927295096043
2028-01-31,1433.019537536442,1417.433556054826,1448.610164636793
2028-02-29,1418.735576088511,1402.6607578567202,1436.0482403861258
2028-03-31,1427.0899313636846,1410.4633329085764,1444.241368536249
2028-04-30,1435.7678417570496,1418.440190083314,1452.7108655716147
2028-05-31,1438.5364928977863,1420.0759040325636,1456.9908951662437
2028-06-30,1444.1441954928111,1425.779888654525,1462.6913065114227
2028-07-31,1446.4645019075415,1426.650876841643,1465.1325258141592
2028-08-31,1459.3094754145327,1438.0939853654186,1480.3972320858657
2028-09-30,1464.2765088933493,1440.7772815971227,1486.0959410121188
2028-10-31,1467.8038649756231,1444.7790526369624,1489.0003516302563
2028-11-30,1468.6947865672078,1445.4789451088345,1492.4436187454214
2028-12-31,1476.978031908536,1453.7559129562112,1500.927382763821
2029-01-31,1490.756295248392,1466.6883623691476,1514.8641847353592
2029-02-28,1483.4397298482772,1457.7497105967655,1507.833278640019
2029-03-31,1492.7292211916435,1466.3035025895151,1518.3018889209368
2029-04-30,1503.027253096395,1474.3644705408205,1529.0642098312887
2029-05-31,1504.762072984266,1475.9341899390224,1531.504761802098
2029-06-30,1510.1645637731633,1480.3091752172681,1538.1333304905327
2029-07-31,1511.4730909352747,1480.323637010532,1540.9951077173996
2029-08-31,1526.8924821216935,1494.8422029890387,1556.2283861706494
2029-09-30,1531.3092190834345,1498.9383165964985,1562.8073636302165
2029-10-31,1534.0918639005895,1500.975734976368,1565.3641919718875
2029-11-30,1533.0731466595385,1497.0050031870069,1565.6891999038785
2029-12-31,1542.7679599992318,1507.5332799773878,1576.182879401098
2030-01-31,1559.9451826048803,1523.9374556363662,1593.823214943329
2030-02-28,1548.1101837620167,1510.853462189617,1583.4531733215135
2030-03-31,1558.3916738723342,1520.714404157442,1594.438211995903
2030-04-30,1570.2923234119191,1531.3192099909074,1608.0633728624891
2030-05-31,1570.9715103127655,1529.7974682639676,1610.727356911071
2030-06-30,1576.1738200071557,1535.0977936169763,1615.2948117034011
2030-07-31,1576.5105065672528,1531.7955613037532,1617.7363087654198
2030-08-31,1594.5012892845236,1548.9514972103168,1636.613331163883
2030-09-30,1598.3172323184901,1552.4425245252112,1640.3044880290938
2030-10-31,1600.3380856385168,1551.7869837935182,1645.4073968616515
2030-11-30,1597.4576844111416,1548.519885073286,1641.5798397116553
2030-12-31,1608.62186392335,1557.3193588479933,1653.764599976106
2031-01-31,1629.12870050969,1578.0695504192972,1676.4827953769334
2031-02-28,1612.7484370380732,1559.609664117473,1660.4004097759585
2031-03-31,1624.0781107882528,1570.945808346406,1673.2060115114289
2031-04-30,1637.5621047639725,1583.4905906158933,1687.1056152973981
2031-05-31,1637.1647513557002,1580.500264504681,1687.6723959121748
2031-06-30,1642.1726562059566,1587.5542811560072,1692.2581135388139
2031-07-31,1641.577819291048,1584.3988319351085,1693.6604166046561
2031-08-31,1662.1343779307124,1602.2430423445073,1717.7433769172476
2031-09-30,1665.2994003017886,1604.9994753013248,1720.3256762252984
2031-10-31,1666.5429319370492,1602.4986930414245,1723.7181305420472
2031-11-30,1661.8507551627702,1598.7958097157098,1720.5882361644342
2031-12-31,1674.5398749231836,1610.846402980327,1734.3901072911906
2032-01-31,1698.3038743057014,1631.658459076642,1757.2352209831997
2032-02-29,1684.019912857754,1616.4658338005138,1746.2407895691501
2032-03-31,1692.3742681329047,1625.2975748727577,1754.8006948278455
2032-04-30,1701.0521785262697,1632.0152519884382,1765.984157738078
2032-05-31,1703.820829667008,1632.856461436499,1770.2810375118943
2032-06-30,1709.4285322620406,1637.5232479695364,1774.171202555252
2032-07-31,1711.7488386767686,1639.0499445295598,1779.3995782461525
2032-08-31,1724.5938121837698,1650.8896264451057,1791.8301420516475
2032-09-30,1729.5608456625885,1651.8170128375532,1799.7531159851899
2032-10-31,1733.0882017448591,1654.4159619723155,1803.6568517377668
2032-11-30,1733.9791233364028,1654.3114737133435,1806.5573453913762
2032-12-31,1742.2623686777579,1660.5745967634666,1814.858169862658
2033-01-31,1756.040632017646,1674.9724035270574,1829.2611202696162
2033-02-28,1748.7240666175114,1663.7058884931716,1825.878650326105
2033-03-31,1758.0135579608823,1675.380334344284,1837.0596211616778
2033-04-30,1768.3115898656126,1681.1733134330846,1846.7171855370484
2033-05-31,1770.0464097534991,1683.0789129907782,1850.3068755505833
2033-06-30,1775.4489005423927,1687.5028286036832,1855.5515611261803
2033-07-31,1776.7574277045208,1684.935775543551,1858.389706802571
2033-08-31,1792.1768188909214,1698.5759855426181,1874.211977406743
2033-09-30,1796.5935558526814,1702.6196319451512,1881.82796468487
2033-10-31,1799.3762006698312,1704.2426108281095,1884.0341523158174
2033-11-30,1798.357483428774,1699.8513681998827,1884.2767698252214
2033-12-31,1808.0522967684726,1709.716605528622,1896.6106539835116
2034-01-31,1825.2295193740774,1722.68549762778,1913.9684223327288
2034-02-28,1813.3945205312577,1713.32928279,1904.1939877428254
2034-03-31,1823.6760106415593,1719.3066540507202,1915.153543910663
2034-04-30,1835.576660181147,1727.4397377082657,1929.8468593777711
