Date,Month,Buying_Wealth,Renting_Wealth,Wealth_Difference,Buying_Equity,Buying_CumulativeCosts,Renting_InvestmentValue,Renting_CumulativeRent
2025-11-30,1,-6879.897557694196,250131.78066267504,257011.67822036924,36645.268813401024,43525.16637109522,251413.53634685132,1281.7556841762982
2025-12-31,2,-7398.603670041062,250268.2803319,257666.88400194107,37671.972956699086,45070.57662674015,252835.0650337181,2566.784701818102
2026-01-31,3,-7905.075654876418,250402.62603955402,258307.70169443043,38713.539832786046,46618.615487662464,254264.63125045283,3862.0052108988266
2026-02-28,4,-8399.96163152156,250532.28172720212,258932.24335872367,39769.36076911172,48169.32240063328,255702.2804424179,5169.998715215758
2026-03-31,5,-8885.647271494483,250661.47325007943,259547.12052157393,40837.08266666447,49722.729938158955,257148.0583119304,6486.585061850964
2026-04-30,6,-9364.400048544128,250795.58064957056,260159.9806981147,41914.464075522614,51278.86412406674,258602.010819715,7806.430170144463
2026-05-31,7,-9838.089130650093,250930.16227747573,260768.25140812583,42999.65644876403,52837.74557941412,260064.18418636502,9134.0219088893
2026-06-30,8,-10308.206616188741,251068.37615100178,261376.58276719053,44091.18399344105,54399.390609629794,261534.62489381168,10466.248742809912
2026-07-31,9,-10775.933913565583,251206.75812693904,261982.69204050463,45187.87818709531,55963.81210066089,263013.37968680175,11806.621559862704
2026-08-31,10,-11242.204332666028,251350.1381374396,262592.3424701056,46288.81590198283,57531.02023464886,264500.4955743838,13150.357436944223
2026-09-30,11,-11707.75461456443,251497.53590085576,263205.2905154202,47393.26844239948,59101.02305696391,265996.0198314021,14498.483930546352
2026-10-31,12,-12173.166071045845,251647.92955151424,263821.09562256007,48500.66085351075,60673.8269245566,267500.0,15852.070448485762
2026-11-30,13,-12638.897177089755,251800.0810827259,264438.97825981566,49610.53968319134,62249.436860281094,269012.4838911309,17212.402808404982
2026-12-31,14,-13105.309341047338,251953.98321758368,265059.29255863104,50722.54749182443,63827.85683287177,270533.51958607836,18579.53636849467
2027-01-31,15,-13572.687270167306,252109.62895103908,265682.3162212064,51836.402707997884,65409.08997816519,272063.15543798456,19953.526486945484
2027-02-28,16,-14041.255062831697,252267.01155143903,266308.26661427075,52951.88371106432,66993.13877389602,273601.4400733871,21334.428521948077
2027-03-31,17,-14511.18892372484,252426.12456207242,266937.31348579726,54068.81625408458,68580.00517780942,275148.42239376553,22722.297831693108
2027-04-30,18,-14982.627210542923,252586.96180272382,267569.5890132667,55187.06352624568,70169.6907367886,276704.15157709504,24117.189774371232
2027-05-31,19,-15455.678372235125,252749.51737123742,268205.19574347255,56306.5183008452,71762.19667308033,278268.6770794105,25519.159708173105
2027-06-30,20,-15930.427221264326,252913.7856450891,268844.21286635345,57427.09673116036,73357.52395242469,279842.0486363785,26928.262991289383
2027-07-31,21,-16406.939889517453,253079.76128296717,269486.7011724846,58548.73344836937,74955.67333788682,281424.3162648779,28344.554981910725
2027-08-31,22,-16885.267744120632,253247.43922636285,270132.7069704835,59671.3776882707,76556.64543239133,283015.53026459063,29768.091038227783
2027-09-30,23,-17365.450481438384,253416.81470116903,270782.2651826074,60794.99023089171,78160.44071233009,284615.74121960026,31198.926518431217
2027-10-31,24,-17847.51857172721,253587.88321928825,271435.40179101547,61919.54098238985,79767.05955411706,286224.99999999994,32637.11678071168
2027-11-30,25,-18331.49519071805,253760.64058025024,272092.1357709683,63045.007064452075,81376.50225517013,287843.3577635101,34082.71718325983
2027-12-31,26,-18817.397745803406,253935.08287283752,272752.4806186409,64171.37130468621,82988.76905048962,289470.86595710384,35535.783084266324
2028-01-31,27,-19305.239081906853,254111.2064767216,273416.4455586284,65298.62104385067,84603.86012575752,291107.5763186434,36996.36984192182
2028-02-29,28,-19795.02843425874,254289.0080641072,274084.0364983659,66426.74719342898,86221.77562768772,292753.5408785242,38464.53281441697
2028-03-31,29,-20286.77218119279,254468.48460138665,274755.25678257947,67555.7434910112,87842.515672204,294408.8119613291,39940.32735994243
2028-04-30,30,-20780.47443893281,254649.63335080282,275430.10778973566,68685.605911969,89466.08035090182,296073.4421874917,41423.808836688855
2028-05-31,31,-21276.137531529486,254832.45187212236,276108.58940365183,69816.33220462446,91092.46973615394,297747.4844749693,42915.032602846906
