Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2025-11-30,1,-43278.74826801548,-1281.7556841762982,-43278.74826801548,-251281.75568417629,-43278.74826801548,-1281.7556841762982
2025-12-31,2,-1293.5597907094352,-1280.8358942204259,-44572.30805872491,-252562.59157839674,-1297.7945688569337,-1285.0290176418036
2026-01-31,3,-1290.7415680087247,-1286.7815423119139,-45863.049626733635,-253849.37312070862,-1299.2065054059294,-1295.220509080725
2026-02-28,4,-1287.9489459277268,-1295.231066048303,-47150.99857266136,-255144.60418675694,-1300.6396305062685,-1307.9935043169314
2026-03-31,5,-1285.178074433423,-1299.4858870883884,-48436.176647094784,-256444.09007384532,-1302.0902516957303,-1316.5863466352057
2026-04-30,6,-1282.425324405091,-1298.451529947028,-49718.60197149988,-257742.54160379234,-1303.554851398123,-1319.8451082934992
2026-05-31,7,-1279.6877165064227,-1301.8108042200972,-50998.2896880063,-259044.35240801246,-1305.0305275542482,-1327.5917387448385
2026-06-30,8,-1276.9628801111123,-1302.0931747531301,-52275.25256811741,-260346.4455827656,-1306.5149620549332,-1332.226833920612
2026-07-31,9,-1274.2489437403415,-1305.7801194442095,-53549.50151185775,-261652.2257022098,-1308.006318150075,-1340.3728170527916
2026-08-31,10,-1271.5444330383837,-1304.7848586277298,-54821.045944896134,-262957.0105608375,-1309.5031435097644,-1343.7358770815194
2026-09-30,11,-1268.848187215001,-1304.7767044640045,-56089.894132111134,-264261.7872653015,-1311.004290382598,-1348.126493602129
2026-10-31,12,-1266.1592925853745,-1305.7863538190727,-57356.05342469651,-265567.5736191206,-1312.5088518460132,-1353.5865179394095
2026-11-30,13,-1263.477030095838,-1308.0118845377126,-58619.53045479235,-266875.58550365834,-1314.0161112996716,-1360.332359919221
2026-12-31,14,-1260.8008339703297,-1310.262043110603,-59880.33128876268,-268185.8475467689,-1315.525502530645,-1367.1335600896891
2027-01-31,15,-1258.1302591366596,-1312.536471994487,-61138.461547899344,-269498.38401876343,-1317.036578153839,-1373.9901184508135
2027-02-28,16,-1255.464955571788,-1314.8348162821583,-62393.926503471135,-270813.2188350456,-1318.5489846745008,-1380.9020350025942
2027-03-31,17,-1252.8046480971223,-1317.1567236872218,-63646.73115156826,-272130.3755587328,-1320.0624427839966,-1387.869309745031
2027-04-30,18,-1250.1491204661886,-1319.5018445289327,-64896.88027203445,-273449.8774032617,-1321.5767317907626,-1394.891942678124
2027-05-31,19,-1247.4982028328336,-1321.869831717111,-66144.37847486728,-274771.74723497883,-1323.0916773186423,-1401.9699338018734
2027-06-30,20,-1244.8517618817943,-1324.2603407371316,-67389.23023674908,-276096.00757571595,-1324.607141586911,-1409.103283116279
2027-07-31,21,-1242.2096930560313,-1326.6730296349945,-68631.43992980511,-277422.68060535094,-1326.1230157301788,-1416.291990621341
2027-08-31,22,-1239.5719144353864,-1329.1075590024657,-69871.01184424051,-278751.7881643534,-1327.6392137300782,-1423.536056317059
2027-09-30,23,-1236.9383619157493,-1331.5635919623,-71107.95020615625,-280083.35175631574,-1329.1556676204757,-1430.8354802034335
2027-10-31,24,-1234.3089854124507,-1334.040794153534,-72342.25919156871,-281417.39255046926,-1330.6723236989426,-1438.1902622804641
2027-11-30,25,-1231.6837458702885,-1336.5388337168556,-73573.942937439,-282753.9313841861,-1332.1891395333041,-1445.6004025481511
2027-12-31,26,-1229.0626129088266,-1339.0573812800476,-74803.00555034782,-284092.98876546614,-1333.7060815964085,-1453.0659010064942
2028-01-31,27,-1226.445562968005,-1341.596109943508,-76029.45111331582,-285434.58487540967,-1335.2231233972752,-1460.5867576554936
